type,id,count,exposure_rate
section,A,3600,1.0
item,I001,0,0.0
item,I002,0,0.0
item,I003,158,0.04
item,I004,0,0.0
item,I005,96,0.03
item,I006,3346,0.93
item,I007,2260,0.63
item,I008,801,0.22
item,I009,126,0.04
item,I010,0,0.0
item,I011,0,0.0
item,I012,992,0.28
item,I013,1679,0.47
item,I014,613,0.17
item,I015,0,0.0
item,I016,0,0.0
item,I017,729,0.2
item,I018,0,0.0
item,I019,0,0.0
item,I020,1593,0.44
item,I021,0,0.0
item,I022,0,0.0
item,I023,142,0.04
item,I024,29,0.01
item,I025,1866,0.52
item,I026,16,0.0
item,I027,0,0.0
item,I028,0,0.0
item,I029,2500,0.69
item,I030,3101,0.86
item,I031,1553,0.43
item,I032,464,0.13
item,I033,3298,0.92
item,I034,3155,0.88
item,I035,1834,0.51
item,I036,1306,0.36
item,I037,18,0.01
item,I038,0,0.0
item,I039,3,0.0
item,I040,1534,0.43
item,I041,2045,0.57
item,I042,1,0.0
item,I043,0,0.0
item,I044,4,0.0
item,I045,1751,0.49
item,I046,1844,0.51
item,I047,0,0.0
item,I048,0,0.0
item,I049,0,0.0
item,I050,1695,0.47
item,I051,1740,0.48
item,I052,52,0.01
item,I053,2764,0.77
item,I054,0,0.0
item,I055,0,0.0
item,I056,131,0.04
item,I057,709,0.2
item,I058,2760,0.77
item,I059,1335,0.37
item,I060,0,0.0
item,I061,299,0.08
item,I062,1966,0.55
item,I063,311,0.09
item,I064,0,0.0
item,I065,0,0.0
item,I066,5,0.0
item,I067,3283,0.91
item,I068,0,0.0
item,I069,0,0.0
item,I070,1,0.0
item,I071,0,0.0
item,I072,0,0.0
item,I073,0,0.0
item,I074,3,0.0
item,I075,0,0.0
item,I076,77,0.02
item,I077,608,0.17
item,I078,0,0.0
item,I079,3,0.0
item,I080,0,0.0
item,I081,977,0.27
item,I082,0,0.0
item,I083,0,0.0
item,I084,0,0.0
item,I085,154,0.04
item,I086,2373,0.66
item,I087,0,0.0
item,I088,192,0.05
item,I089,137,0.04
item,I090,2425,0.67
item,I091,2814,0.78
item,I092,1,0.0
item,I093,0,0.0
item,I094,0,0.0
item,I095,2,0.0
item,I096,2919,0.81
item,I097,0,0.0
item,I098,0,0.0
item,I099,0,0.0
item,I100,1192,0.33
item,I101,1,0.0
item,I102,1592,0.44
item,I103,0,0.0
item,I104,911,0.25
item,I105,0,0.0
item,I106,0,0.0
item,I107,0,0.0
item,I108,3187,0.89
item,I109,0,0.0
item,I110,618,0.17
item,I111,0,0.0
item,I112,0,0.0
item,I113,1103,0.31
item,I114,0,0.0
item,I115,2,0.0
item,I116,180,0.05
item,I117,0,0.0
item,I118,0,0.0
item,I119,4,0.0
item,I120,125,0.03
item,I121,3321,0.92
item,I122,0,0.0
