thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,1,Overall,Overall,35,17,41,1.0,0.492714,0.223969,1025,11,
1,2,Overall,Overall,35,5,41,-1.5,-1.296273,0.274592,935,14,
1,3,Overall,Overall,35,15,41,0.0,0.225365,0.295957,1011,15,
1,4,Overall,Overall,35,29,41,2.0,2.133266,0.351309,1107,18,
1,5,Overall,Overall,35,23,41,1.5,1.273332,0.210284,1064,11,
1,6,Overall,Overall,35,22,41,1.5,1.351594,0.354455,1068,18,
1,7,Overall,Overall,35,8,41,-1.0,-0.543781,0.312957,973,16,
1,8,Overall,Overall,35,8,41,-1.0,-1.782325,0.090889,911,5,
1,9,Overall,Overall,35,13,41,0.0,-0.946442,0.114993,953,6,
1,10,Overall,Overall,35,20,41,1.0,1.11209,0.187614,1056,9,
1,11,Overall,Overall,35,23,41,1.5,1.17343,0.345871,1059,17,
1,12,Overall,Overall,35,10,41,-0.5,-0.247414,0.40632,988,20,
1,13,Overall,Overall,35,9,41,-1.5,-2.125417,0.06275,894,3,
1,14,Overall,Overall,35,18,41,1.0,1.592184,0.127309,1080,6,
1,15,Overall,Overall,35,10,41,-1.0,-0.828452,0.578847,959,29,
1,16,Overall,Overall,35,4,41,-1.5,-1.7292,0.275639,914,14,
1,17,Overall,Overall,35,26,41,1.0,0.654122,0.075375,1033,4,
1,18,Overall,Overall,35,11,41,-0.5,-0.629282,0.195158,969,10,
1,19,Overall,Overall,35,11,41,-1.5,-0.801276,0.645182,960,32,
1,20,Overall,Overall,35,8,41,-1.0,-1.101746,0.663504,945,33,
1,21,Overall,Overall,35,10,41,-0.5,-0.411808,0.552359,979,28,
1,22,Overall,Overall,35,24,41,1.5,0.982324,0.321167,1049,16,
1,23,Overall,Overall,35,4,41,-2.0,-1.857606,0.693409,907,35,
1,24,Overall,Overall,35,28,41,2.0,1.871499,0.358467,1094,18,
1,25,Overall,Overall,35,19,41,1.0,0.637592,0.370601,1032,19,
1,26,Overall,Overall,35,9,41,-1.0,-0.668947,0.328346,967,16,
1,27,Overall,Overall,35,16,41,0.0,-0.082113,0.93417,996,47,
1,28,Overall,Overall,35,16,41,0.5,0.233198,0.724464,1012,36,
1,29,Overall,Overall,35,30,41,1.5,2.501078,0.257828,1125,13,
1,30,Overall,Overall,35,15,41,0.5,-0.082579,0.4474,996,22,
1,31,Overall,Overall,35,19,41,1.0,0.953052,0.483107,1048,24,
1,32,Overall,Overall,35,10,41,-0.5,0.080025,0.440205,1004,22,
1,33,Overall,Overall,35,20,41,1.0,0.650033,0.080912,1033,4,
1,34,Overall,Overall,35,15,41,0.5,0.578839,0.194836,1029,10,
1,35,Overall,Overall,35,15,41,0.0,0.630537,0.371465,1032,19,
1,36,Overall,Overall,35,11,41,-1.0,-0.867875,0.508648,957,25,
1,37,Overall,Overall,35,5,41,-2.0,-2.940757,0.74415,853,37,
1,38,Overall,Overall,35,12,41,0.0,-0.357581,0.254208,982,13,
1,39,Overall,Overall,35,5,41,-1.5,-2.018052,0.059121,899,3,
1,40,Overall,Overall,35,8,41,-1.0,-0.456871,0.57489,977,29,
1,41,Overall,Overall,35,17,41,0.5,0.81226,0.246807,1041,12,
1,42,Overall,Overall,35,6,41,-1.5,-4.498541,0.952925,775,48,
1,43,Overall,Overall,35,6,41,-2.0,-1.716892,0.875096,914,44,
1,44,Overall,Overall,35,16,41,1.0,0.793067,0.443864,1040,22,
1,45,Overall,Overall,35,28,41,2.0,2.533102,0.301348,1127,15,
1,46,Overall,Overall,35,28,41,2.0,2.195224,0.422944,1110,21,
1,47,Overall,Overall,35,1,41,-2.0,-2.937768,0.426426,853,21,
1,48,Overall,Overall,35,14,41,0.0,-0.549971,0.597602,973,30,
1,49,Overall,Overall,35,8,41,-1.5,-2.42289,0.762505,879,38,
1,50,Overall,Overall,35,6,41,-1.0,-0.799703,0.548171,960,27,
1,51,Overall,Overall,35,21,41,1.0,1.239234,0.226206,1062,11,
1,52,Overall,Overall,35,17,41,0.0,0.363279,0.232331,1018,12,
1,53,Overall,Overall,35,9,41,-1.0,-1.4922,0.53257,925,27,
1,54,Overall,Overall,35,8,41,-1.0,-0.359372,0.32078,982,16,
1,55,Overall,Overall,35,5,41,-1.5,-1.9499,0.982207,903,49,
1,56,Overall,Overall,35,5,41,-1.5,-1.316106,0.430346,934,22,
1,57,Overall,Overall,35,10,41,-0.5,-1.586182,0.697101,921,35,
1,58,Overall,Overall,35,25,41,2.0,2.466334,0.221352,1123,11,
1,59,Overall,Overall,35,14,41,0.5,-0.165682,0.50869,992,25,
1,60,Overall,Overall,35,19,41,1.0,1.100775,0.241109,1055,12,
1,61,Overall,Overall,35,6,41,-1.5,-2.040373,0.302092,898,15,
1,62,Overall,Overall,35,6,41,-2.0,-1.727444,0.883068,914,44,
1,63,Overall,Overall,35,16,41,1.0,-0.042687,0.377954,998,19,
1,64,Overall,Overall,35,8,41,-1.0,-1.70918,1.030492,915,52,
1,65,Overall,Overall,35,5,41,-1.0,-1.004411,0.459773,950,23,
1,66,Overall,Overall,35,22,41,1.0,1.271227,0.139024,1064,7,
1,67,Overall,Overall,35,24,41,1.5,1.198988,0.411437,1060,21,
1,68,Overall,Overall,35,19,41,1.0,0.399839,0.337016,1020,17,
1,69,Overall,Overall,35,22,41,1.5,1.110122,0.358033,1056,18,
1,70,Overall,Overall,35,14,41,0.0,0.292555,0.585258,1015,29,
1,71,Overall,Overall,35,19,41,0.5,0.367447,0.341632,1018,17,
1,72,Overall,Overall,35,6,41,-2.0,-1.923947,0.657554,904,33,
1,73,Overall,Overall,35,4,41,-2.0,-2.09001,0.090121,895,5,
1,74,Overall,Overall,35,10,41,-1.0,0.060316,0.203776,1003,10,
1,75,Overall,Overall,35,11,41,0.0,0.060366,0.5268,1003,26,
1,76,Overall,Overall,35,10,41,0.0,0.589607,0.249368,1029,12,
1,77,Overall,Overall,35,8,41,-1.0,-0.793567,0.601745,960,30,
1,78,Overall,Overall,35,23,41,0.5,0.365368,0.194918,1018,10,
1,79,Overall,Overall,35,23,41,2.0,2.004905,0.251752,1100,13,
1,80,Overall,Overall,35,18,41,0.5,0.868777,0.254041,1043,13,
1,81,Overall,Overall,35,26,41,2.0,1.795119,0.436247,1090,22,
1,82,Overall,Overall,35,13,41,0.0,0.281477,0.301023,1014,15,
1,83,Overall,Overall,35,14,41,-0.5,-0.298201,0.291031,985,15,
1,84,Overall,Overall,35,7,41,-1.5,-2.991697,1.003741,850,50,
1,85,Overall,Overall,35,11,41,0.0,0.27244,0.44046,1014,22,
1,86,Overall,Overall,35,4,41,-2.0,-2.804011,0.637435,860,32,
1,87,Overall,Overall,35,7,41,-0.5,-1.05981,0.282313,947,14,
1,88,Overall,Overall,35,4,41,-2.0,-3.360486,1.198584,832,60,
1,89,Overall,Overall,35,27,41,2.0,2.099172,0.529971,1105,26,
1,90,Overall,Overall,35,25,41,1.5,1.560131,0.663187,1078,33,
1,91,Overall,Overall,35,20,41,1.0,0.538374,0.26281,1027,13,
1,92,Overall,Overall,35,7,41,-1.0,-0.431312,0.591301,978,30,
1,93,Overall,Overall,35,6,41,-1.0,-1.480148,0.51051,926,26,
1,94,Overall,Overall,35,14,41,-0.5,-0.223051,0.442432,989,22,
1,95,Overall,Overall,35,14,41,-0.5,-0.161767,0.363445,992,18,
1,96,Overall,Overall,35,27,41,1.5,0.72648,0.095825,1036,5,
1,97,Overall,Overall,35,14,41,0.0,0.402897,0.25732,1020,13,
1,98,Overall,Overall,35,3,41,-2.0,-1.234531,0.652018,938,33,
1,99,Overall,Overall,35,22,41,1.0,0.622707,0.459342,1031,23,
1,100,Overall,Overall,35,15,41,0.0,0.148527,0.616109,1007,31,
1,101,Overall,Overall,35,17,41,1.0,1.404384,0.173343,1070,9,
1,102,Overall,Overall,35,24,41,2.0,2.484804,0.311198,1124,16,
1,103,Overall,Overall,35,11,41,-0.5,-1.322699,0.802836,934,40,
1,104,Overall,Overall,35,10,41,-1.0,-0.558277,0.049676,972,2,
1,105,Overall,Overall,35,9,41,-1.0,-0.621175,0.53385,969,27,
1,106,Overall,Overall,35,17,41,0.5,0.130574,0.549487,1007,27,
1,107,Overall,Overall,35,12,41,0.5,0.287187,0.626063,1014,31,
1,108,Overall,Overall,35,12,41,0.0,0.407382,0.907199,1020,45,
1,109,Overall,Overall,35,22,41,1.5,1.333527,0.329164,1067,16,
1,110,Overall,Overall,35,13,41,-0.5,-0.806836,0.251909,960,13,
1,111,Overall,Overall,35,27,41,1.5,1.339406,0.419182,1067,21,
1,112,Overall,Overall,35,5,41,-2.0,-0.993813,0.815798,950,41,
1,113,Overall,Overall,35,8,41,-1.5,-0.829972,0.186255,959,9,
1,114,Overall,Overall,35,11,41,-0.5,-0.01603,0.845329,999,42,
1,115,Overall,Overall,35,17,41,0.0,-0.407335,0.08065,980,4,
1,116,Overall,Overall,35,8,41,-1.0,-1.437266,0.677058,928,34,
1,117,Overall,Overall,35,10,41,-1.0,-1.099695,0.448202,945,22,
1,118,Overall,Overall,35,9,41,-0.5,-1.48707,0.896765,926,45,
1,119,Overall,Overall,35,5,41,-1.0,-2.273527,0.87618,886,44,
1,120,Overall,Overall,35,5,41,-1.5,-2.867012,0.597369,857,30,
1,121,Overall,Overall,35,11,41,-0.5,-1.664255,0.431098,917,22,
1,122,Overall,Overall,35,21,41,1.0,1.222373,0.123826,1061,6,
1,123,Overall,Overall,35,25,41,1.0,1.317503,0.513313,1066,26,
1,124,Overall,Overall,35,6,41,-1.0,-0.443054,0.233472,978,12,
1,125,Overall,Overall,35,6,41,-2.0,-1.499226,0.431181,925,22,
1,126,Overall,Overall,35,16,41,0.5,0.740496,0.34221,1037,17,
1,127,Overall,Overall,35,5,41,-1.5,-3.163621,1.30396,842,65,
1,128,Overall,Overall,35,22,41,1.5,1.45276,0.115562,1073,6,
1,129,Overall,Overall,35,27,41,2.0,1.923197,0.341839,1096,17,
1,130,Overall,Overall,35,14,41,0.0,-0.108372,0.259582,995,13,
1,131,Overall,Overall,35,24,41,2.0,1.345562,0.333996,1067,17,
1,132,Overall,Overall,35,10,41,-1.0,0.018547,0.529876,1001,26,
1,133,Overall,Overall,35,7,41,-1.5,-0.982689,0.06039,951,3,
1,134,Overall,Overall,35,10,41,0.0,-0.232004,0.438894,988,22,
1,135,Overall,Overall,35,16,41,0.5,0.291005,0.187052,1015,9,
1,136,Overall,Overall,35,7,41,-1.5,0.151973,0.19232,1008,10,
1,137,Overall,Overall,35,4,41,-2.0,-1.734142,0.365042,913,18,
1,138,Overall,Overall,35,9,41,-1.0,-1.235318,0.154242,938,8,
1,139,Overall,Overall,35,20,41,1.5,0.992195,0.341703,1050,17,
1,140,Overall,Overall,35,14,41,0.0,-0.107586,0.214282,995,11,
1,141,Overall,Overall,35,4,41,-2.0,-0.998667,0.782451,950,39,
1,142,Overall,Overall,35,10,41,-0.5,-0.836938,0.859942,958,43,
1,143,Overall,Overall,35,3,41,-2.0,-1.39455,0.24818,930,12,
