thread,student,slot,section,position,item,stimulus,score,true_theta,test_theta,test_se,section_theta,section_se,bayesian_mean,bayesian_sd
1,1,0,,,,,,-1.0,0.0,0.0,0.0,0.0,,
1,1,1,A,1,I150,,0,-1.0,-0.508287,0.829179,-0.508287,0.829179,,
1,1,2,A,2,I129,,0,-1.0,-0.805486,0.768596,-0.805486,0.768596,,
1,1,3,A,3,I363,,-1,-1.0,-0.805486,0.768596,-0.805486,0.768596,,
1,1,4,A,4,I349,,-1,-1.0,-0.805486,0.768596,-0.805486,0.768596,,
1,1,5,A,5,I362,,-1,-1.0,-0.805486,0.768596,-0.805486,0.768596,,
1,1,6,A,6,I040,,0,-1.0,-1.019927,0.747,-1.019927,0.747,,
1,1,7,A,7,I056,,1,-1.0,-1.113578,1.039517,-1.113578,1.039517,,
1,1,8,A,8,I003,,0,-1.0,-1.259149,1.021087,-1.259149,1.021087,,
1,1,9,A,9,I156,,1,-1.0,-0.858773,0.814564,-0.858773,0.814564,,
1,1,10,A,10,I185,,0,-1.0,-0.974273,0.799018,-0.974273,0.799018,,
1,1,11,A,11,I189,,0,-1.0,-1.15486,0.809178,-1.15486,0.809178,,
1,1,12,A,12,I025,,0,-1.0,-1.322527,0.817406,-1.322527,0.817406,,
1,1,13,A,13,I011,,0,-1.0,-1.411116,0.813558,-1.411116,0.813558,,
1,1,14,A,14,I162,,0,-1.0,-1.507399,0.816811,-1.507399,0.816811,,
1,1,15,A,15,I016,,1,-1.0,-1.257892,0.733453,-1.257892,0.733453,,
1,1,16,A,16,I136,,0,-1.0,-1.342244,0.736959,-1.342244,0.736959,,
1,1,17,A,17,I089,,0,-1.0,-1.488758,0.719139,-1.488758,0.719139,,
1,1,18,A,18,I192,,1,-1.0,-1.065196,0.600014,-1.065196,0.600014,,
1,1,19,A,19,I095,,1,-1.0,-0.866881,0.544635,-0.866881,0.544635,,
1,1,20,A,20,I174,,0,-1.0,-0.939731,0.527927,-0.939731,0.527927,,
1,1,21,A,21,I139,,0,-1.0,-1.021904,0.524162,-1.021904,0.524162,,
1,1,22,A,22,I346,,-1,-1.0,-1.021904,0.524162,-1.021904,0.524162,,
1,1,23,A,23,I365,,-1,-1.0,-1.021904,0.524162,-1.021904,0.524162,,
1,1,24,A,24,I295,,-1,-1.0,-1.021904,0.524162,-1.021904,0.524162,,
1,1,25,A,25,I243,,-1,-1.0,-1.021904,0.524162,-1.021904,0.524162,,
1,1,26,A,26,I309,,-1,-1.0,-1.021904,0.524162,-1.021904,0.524162,,
1,1,27,A,27,I044,,0,-1.0,-1.087775,0.52259,-1.087775,0.52259,,
1,1,28,A,28,I028,,0,-1.0,-1.136193,0.520777,-1.136193,0.520777,,
1,1,29,A,29,I072,,0,-1.0,-1.209712,0.521843,-1.209712,0.521843,,
1,1,30,A,30,I032,,0,-1.0,-1.259355,0.522244,-1.259355,0.522244,,
1,1,31,A,31,I168,,0,-1.0,-1.339765,0.52828,-1.339765,0.52828,,
1,1,32,A,32,I085,,0,-1.0,-1.375862,0.527022,-1.375862,0.527022,,
1,1,33,A,33,I127,,0,-1.0,-1.401564,0.525555,-1.401564,0.525555,,
1,1,34,A,34,I325,,-1,-1.0,-1.401564,0.525555,-1.401564,0.525555,,
1,1,35,A,35,I064,,0,-1.0,-1.419688,0.523282,-1.419688,0.523282,,
1,1,36,A,36,I104,,0,-1.0,-1.480554,0.529166,-1.480554,0.529166,,
1,1,37,A,37,I113,,0,-1.0,-1.495619,0.526872,-1.495619,0.526872,,
1,1,38,A,38,I079,,0,-1.0,-1.527553,0.528562,-1.527553,0.528562,,
1,1,39,A,39,I126,,2,-1.0,-1.412101,0.499916,-1.412101,0.499916,,
1,1,40,A,40,I099,,0,-1.0,-1.427256,0.498607,-1.427256,0.498607,,
1,1,41,A,41,I196,,1,-1.0,-1.289725,0.471596,-1.289725,0.471596,,
1,1,42,A,42,I083,,1,-1.0,-1.20101,0.455309,-1.20101,0.455309,,
1,1,43,A,43,I105,,2,-1.0,-1.068965,0.430442,-1.068965,0.430442,,
1,1,44,A,44,I029,,0,-1.0,-1.07926,0.42968,-1.07926,0.42968,,
1,1,45,A,45,I061,,0,-1.0,-1.089783,0.429269,-1.089783,0.429269,,
1,2,0,,,,,,2.5,0.0,0.0,0.0,0.0,,
1,2,1,A,1,I153,,0,2.5,-0.321439,0.903071,-0.321439,0.903071,,
1,2,2,A,2,I176,,1,2.5,0.303709,1.355106,0.303709,1.355106,,
1,2,3,A,3,I387,,-1,2.5,0.303709,1.355106,0.303709,1.355106,,
1,2,4,A,4,I265,,-1,2.5,0.303709,1.355106,0.303709,1.355106,,
1,2,5,A,5,I262,,-1,2.5,0.303709,1.355106,0.303709,1.355106,,
1,2,6,A,6,I012,,0,2.5,-0.107115,1.204863,-0.107115,1.204863,,
1,2,7,A,7,I179,,0,2.5,-0.335821,1.140975,-0.335821,1.140975,,
1,2,8,A,8,I058,,0,2.5,-0.81663,1.197919,-0.81663,1.197919,,
1,2,9,A,9,I002,,1,2.5,-0.114589,0.917223,-0.114589,0.917223,,
1,2,10,A,10,I067,,1,2.5,0.30481,0.802825,0.30481,0.802825,,
1,2,11,A,11,I034,,1,2.5,0.831227,0.7176,0.831227,0.7176,,
1,2,12,A,12,I027,,1,2.5,1.033117,0.688878,1.033117,0.688878,,
1,2,13,A,13,I158,,0,2.5,0.841379,0.671167,0.841379,0.671167,,
1,2,14,A,14,I160,,1,2.5,1.278489,0.651059,1.278489,0.651059,,
1,2,15,A,15,I031,,0,2.5,1.182052,0.636736,1.182052,0.636736,,
1,2,16,A,16,I068,,1,2.5,1.347129,0.626946,1.347129,0.626946,,
1,2,17,A,17,I275,,-1,2.5,1.347129,0.626946,1.347129,0.626946,,
1,2,18,A,18,I327,,-1,2.5,1.347129,0.626946,1.347129,0.626946,,
1,2,19,A,19,I120,,4,2.5,1.827004,0.565479,1.827004,0.565479,,
1,2,20,A,20,I396,,-1,2.5,1.827004,0.565479,1.827004,0.565479,,
1,2,21,A,21,I305,,-1,2.5,1.827004,0.565479,1.827004,0.565479,,
1,2,22,A,22,I144,,1,2.5,2.052253,0.536203,2.052253,0.536203,,
1,2,23,A,23,I119,,0,2.5,1.906412,0.507102,1.906412,0.507102,,
1,2,24,A,24,I274,,-1,2.5,1.906412,0.507102,1.906412,0.507102,,
1,2,25,A,25,I090,,0,2.5,1.682358,0.481124,1.682358,0.481124,,
1,2,26,A,26,I081,,1,2.5,1.827315,0.471153,1.827315,0.471153,,
1,2,27,A,27,I107,,1,2.5,1.915591,0.463526,1.915591,0.463526,,
1,2,28,A,28,I073,,1,2.5,2.006724,0.458028,2.006724,0.458028,,
1,2,29,A,29,I091,,2,2.5,2.039415,0.429759,2.039415,0.429759,,
1,2,30,A,30,I078,,1,2.5,2.092873,0.424633,2.092873,0.424633,,
1,2,31,A,31,I046,,1,2.5,2.127837,0.420291,2.127837,0.420291,,
1,2,32,A,32,I007,,1,2.5,2.209471,0.419243,2.209471,0.419243,,
1,2,33,A,33,I125,,1,2.5,2.258918,0.417009,2.258918,0.417009,,
1,2,34,A,34,I339,,-1,2.5,2.258918,0.417009,2.258918,0.417009,,
1,2,35,A,35,I195,,1,2.5,2.315536,0.415603,2.315536,0.415603,,
1,2,36,A,36,I146,,1,2.5,2.343128,0.413329,2.343128,0.413329,,
1,2,37,A,37,I171,,0,2.5,2.278451,0.405287,2.278451,0.405287,,
1,2,38,A,38,I030,,0,2.5,2.167533,0.395305,2.167533,0.395305,,
1,2,39,A,39,I116,,4,2.5,2.309817,0.392941,2.309817,0.392941,,
1,2,40,A,40,I121,,1,2.5,2.363414,0.393192,2.363414,0.393192,,
1,2,41,A,41,I038,,1,2.5,2.391177,0.392562,2.391177,0.392562,,
1,2,42,A,42,I133,,0,2.5,2.325148,0.386381,2.325148,0.386381,,
1,2,43,A,43,I075,,0,2.5,2.293285,0.381003,2.293285,0.381003,,
1,2,44,A,44,I188,,0,2.5,2.243723,0.376595,2.243723,0.376595,,
1,2,45,A,45,I197,,0,2.5,2.188578,0.372905,2.188578,0.372905,,
1,3,0,,,,,,-0.5,0.0,0.0,0.0,0.0,,
1,3,1,A,1,I153,,0,-0.5,-0.321439,0.903071,-0.321439,0.903071,,
1,3,2,A,2,I176,,0,-0.5,-0.575711,0.853707,-0.575711,0.853707,,
1,3,3,A,3,I204,,-1,-0.5,-0.575711,0.853707,-0.575711,0.853707,,
1,3,4,A,4,I227,,-1,-0.5,-0.575711,0.853707,-0.575711,0.853707,,
1,3,5,A,5,I202,,-1,-0.5,-0.575711,0.853707,-0.575711,0.853707,,
1,3,6,A,6,I010,,0,-0.5,-0.702763,0.815167,-0.702763,0.815167,,
1,3,7,A,7,I002,,0,-0.5,-0.824593,0.793664,-0.824593,0.793664,,
1,3,8,A,8,I182,,0,-0.5,-0.926816,0.778547,-0.926816,0.778547,,
1,3,9,A,9,I172,,0,-0.5,-1.014501,0.771091,-1.014501,0.771091,,
1,3,10,A,10,I132,,0,-0.5,-1.082004,0.766429,-1.082004,0.766429,,
1,3,11,A,11,I165,,0,-0.5,-1.132375,0.761331,-1.132375,0.761331,,
1,3,12,A,12,I017,,1,-0.5,-2.258648,1.68183,-2.258648,1.68183,,
1,3,13,A,13,I136,,0,-0.5,-2.502061,1.702525,-2.502061,1.702525,,
1,3,14,A,14,I140,,1,-0.5,-1.218047,1.017658,-1.218047,1.017658,,
1,3,15,A,15,I031,,0,-0.5,-1.282037,1.016907,-1.282037,1.016907,,
1,3,16,A,16,I022,,0,-0.5,-1.407871,1.041862,-1.407871,1.041862,,
1,3,17,A,17,I242,,-1,-0.5,-1.407871,1.041862,-1.407871,1.041862,,
1,3,18,A,18,I247,,-1,-0.5,-1.407871,1.041862,-1.407871,1.041862,,
1,3,19,A,19,I116,,0,-0.5,-1.477792,1.043323,-1.477792,1.043323,,
1,3,20,A,20,I241,,-1,-0.5,-1.477792,1.043323,-1.477792,1.043323,,
1,3,21,A,21,I324,,-1,-0.5,-1.477792,1.043323,-1.477792,1.043323,,
1,3,22,A,22,I159,,1,-0.5,-0.941533,0.837173,-0.941533,0.837173,,
1,3,23,A,23,I037,,0,-0.5,-1.068826,0.814526,-1.068826,0.814526,,
1,3,24,A,24,I295,,-1,-0.5,-1.068826,0.814526,-1.068826,0.814526,,
1,3,25,A,25,I190,,0,-0.5,-1.225758,0.806633,-1.225758,0.806633,,
1,3,26,A,26,I109,,1,-0.5,-0.897514,0.712779,-0.897514,0.712779,,
1,3,27,A,27,I051,,0,-0.5,-0.983381,0.709987,-0.983381,0.709987,,
1,3,28,A,28,I023,,1,-0.5,-0.829657,0.669742,-0.829657,0.669742,,
1,3,29,A,29,I075,,0,-0.5,-0.847463,0.669633,-0.847463,0.669633,,
1,3,30,A,30,I198,,0,-0.5,-0.886892,0.661347,-0.886892,0.661347,,
1,3,31,A,31,I045,,0,-0.5,-0.947993,0.657669,-0.947993,0.657669,,
1,3,32,A,32,I036,,0,-0.5,-0.99408,0.652933,-0.99408,0.652933,,
1,3,33,A,33,I093,,0,-0.5,-1.040329,0.650286,-1.040329,0.650286,,
