thread,student,slot,section,position,item,stimulus,score,true_theta,test_theta,test_se,section_theta,section_se,bayesian_mean,bayesian_sd
1,1,0,,,,,,2.5,0.0,0.0,0.0,0.0,,
1,1,1,A,1,I150,,1,2.5,0.63669,0.813865,0.63669,0.813865,,
1,1,2,A,2,I003,,1,2.5,0.946058,0.757708,0.946058,0.757708,,
1,1,3,A,3,I222,,-1,2.5,0.946058,0.757708,0.946058,0.757708,,
1,1,4,A,4,I260,,-1,2.5,0.946058,0.757708,0.946058,0.757708,,
1,1,5,A,5,I343,,-1,2.5,0.946058,0.757708,0.946058,0.757708,,
1,1,6,A,6,I010,,1,2.5,1.241405,0.719587,1.241405,0.719587,,
1,1,7,A,7,I034,,0,2.5,1.848583,1.020602,1.848583,1.020602,,
1,1,8,A,8,I160,,1,2.5,2.71448,1.096205,2.71448,1.096205,,
1,1,9,A,9,I063,,1,2.5,3.133904,1.076128,3.133904,1.076128,,
1,1,10,A,10,I180,,1,2.5,3.366062,1.052952,3.366062,1.052952,,
1,1,11,A,11,I170,,1,2.5,3.676984,1.07949,3.676984,1.07949,,
1,1,12,A,12,I055,,1,2.5,3.939648,1.099053,3.939648,1.099053,,
1,1,13,A,13,I031,,0,2.5,3.448198,0.922023,3.448198,0.922023,,
1,1,14,A,14,I041,,0,2.5,3.136636,0.834381,3.136636,0.834381,,
1,1,15,A,15,I138,,1,2.5,3.19368,0.824041,3.19368,0.824041,,
1,1,16,A,16,I158,,1,2.5,3.256154,0.818407,3.256154,0.818407,,
1,1,17,A,17,I380,,-1,2.5,3.256154,0.818407,3.256154,0.818407,,
1,1,18,A,18,I331,,-1,2.5,3.256154,0.818407,3.256154,0.818407,,
1,1,19,A,19,I091,,0,2.5,2.462564,0.610884,2.462564,0.610884,,
1,1,20,A,20,I297,,-1,2.5,2.462564,0.610884,2.462564,0.610884,,
1,1,21,A,21,I267,,-1,2.5,2.462564,0.610884,2.462564,0.610884,,
1,1,22,A,22,I175,,1,2.5,2.568431,0.571403,2.568431,0.571403,,
1,1,23,A,23,I144,,1,2.5,2.695234,0.550575,2.695234,0.550575,,
1,1,24,A,24,I307,,-1,2.5,2.695234,0.550575,2.695234,0.550575,,
1,1,25,A,25,I081,,1,2.5,2.806846,0.545313,2.806846,0.545313,,
1,1,26,A,26,I119,,1,2.5,2.896175,0.539335,2.896175,0.539335,,
1,1,27,A,27,I029,,0,2.5,2.683871,0.497709,2.683871,0.497709,,
1,1,28,A,28,I198,,1,2.5,2.727665,0.492065,2.727665,0.492065,,
1,1,29,A,29,I120,,3,2.5,2.722475,0.464711,2.722475,0.464711,,
1,1,30,A,30,I073,,1,2.5,2.782301,0.463435,2.782301,0.463435,,
1,1,31,A,31,I061,,0,2.5,2.661504,0.441321,2.661504,0.441321,,
1,1,32,A,32,I107,,0,2.5,2.534191,0.421414,2.534191,0.421414,,
1,1,33,A,33,I099,,1,2.5,2.567894,0.418081,2.567894,0.418081,,
1,1,34,A,34,I274,,-1,2.5,2.567894,0.418081,2.567894,0.418081,,
1,1,35,A,35,I090,,0,2.5,2.38818,0.396061,2.38818,0.396061,,
1,1,36,A,36,I113,,1,2.5,2.411518,0.392455,2.411518,0.392455,,
1,1,37,A,37,I078,,1,2.5,2.446583,0.390583,2.446583,0.390583,,
1,1,38,A,38,I007,,1,2.5,2.510326,0.391681,2.510326,0.391681,,
1,1,39,A,39,I095,,4,2.5,2.587444,0.384659,2.587444,0.384659,,
1,1,40,A,40,I195,,0,2.5,2.52123,0.374643,2.52123,0.374643,,
1,1,41,A,41,I046,,1,2.5,2.540406,0.373283,2.540406,0.373283,,
1,1,42,A,42,I133,,0,2.5,2.479404,0.365899,2.479404,0.365899,,
1,1,43,A,43,I116,,1,2.5,2.438924,0.354641,2.438924,0.354641,,
1,1,44,A,44,I188,,0,2.5,2.394723,0.349658,2.394723,0.349658,,
1,1,45,A,45,I023,,1,2.5,2.404437,0.34948,2.404437,0.34948,,
1,2,0,,,,,,0.5,0.0,0.0,0.0,0.0,,
1,2,1,A,1,I150,,0,0.5,-0.508287,0.829179,-0.508287,0.829179,,
1,2,2,A,2,I129,,1,0.5,-0.127548,0.94154,-0.127548,0.94154,,
1,2,3,A,3,I256,,-1,0.5,-0.127548,0.94154,-0.127548,0.94154,,
1,2,4,A,4,I264,,-1,0.5,-0.127548,0.94154,-0.127548,0.94154,,
1,2,5,A,5,I385,,-1,0.5,-0.127548,0.94154,-0.127548,0.94154,,
1,2,6,A,6,I003,,0,0.5,-0.405361,0.888229,-0.405361,0.888229,,
1,2,7,A,7,I185,,0,0.5,-0.606094,0.866831,-0.606094,0.866831,,
1,2,8,A,8,I056,,1,0.5,-0.208079,0.721603,-0.208079,0.721603,,
1,2,9,A,9,I010,,1,0.5,0.206904,0.650375,0.206904,0.650375,,
1,2,10,A,10,I138,,1,0.5,0.422751,0.625087,0.422751,0.625087,,
1,2,11,A,11,I034,,0,0.5,0.348353,0.60215,0.348353,0.60215,,
1,2,12,A,12,I189,,1,0.5,0.45492,0.586732,0.45492,0.586732,,
1,2,13,A,13,I025,,0,0.5,0.284,0.570642,0.284,0.570642,,
1,2,14,A,14,I162,,0,0.5,0.17255,0.560045,0.17255,0.560045,,
1,2,15,A,15,I016,,0,0.5,0.069611,0.556152,0.069611,0.556152,,
1,2,16,A,16,I027,,0,0.5,1.4E-4,0.549931,1.4E-4,0.549931,,
1,2,17,A,17,I174,,1,0.5,0.229279,0.491066,0.229279,0.491066,,
1,2,18,A,18,I377,,-1,0.5,0.229279,0.491066,0.229279,0.491066,,
1,2,19,A,19,I095,,0,0.5,0.059455,0.459054,0.059455,0.459054,,
1,2,20,A,20,I089,,1,0.5,0.146734,0.43851,0.146734,0.43851,,
1,2,21,A,21,I259,,-1,0.5,0.146734,0.43851,0.146734,0.43851,,
1,2,22,A,22,I113,,1,0.5,0.320508,0.418816,0.320508,0.418816,,
1,2,23,A,23,I249,,-1,0.5,0.320508,0.418816,0.320508,0.418816,,
1,2,24,A,24,I279,,-1,0.5,0.320508,0.418816,0.320508,0.418816,,
1,2,25,A,25,I283,,-1,0.5,0.320508,0.418816,0.320508,0.418816,,
1,2,26,A,26,I142,,1,0.5,0.423326,0.405156,0.423326,0.405156,,
1,2,27,A,27,I064,,0,0.5,0.353715,0.394382,0.353715,0.394382,,
1,2,28,A,28,I192,,1,0.5,0.421914,0.383634,0.421914,0.383634,,
1,2,29,A,29,I072,,1,0.5,0.42272,0.371794,0.42272,0.371794,,
1,2,30,A,30,I037,,0,0.5,0.347304,0.364744,0.347304,0.364744,,
1,2,31,A,31,I198,,0,0.5,0.308278,0.359269,0.308278,0.359269,,
1,2,32,A,32,I099,,1,0.5,0.407492,0.351513,0.407492,0.351513,,
1,2,33,A,33,I046,,1,0.5,0.477036,0.345315,0.477036,0.345315,,
1,2,34,A,34,I334,,-1,0.5,0.477036,0.345315,0.477036,0.345315,,
