section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A,C01,STM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C02,STM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C03,ITM,,NUMBER,10.0,10.0,,3600,1.0,10.0,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0
A,C04_S001,STM_ITM,S001,NUMBER,5.0,5.0,,361,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0
A,C04_S002,STM_ITM,S002,NUMBER,5.0,5.0,,7,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
A,C04_S004,STM_ITM,S004,NUMBER,5.0,5.0,,357,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0
A,C04_S013,STM_ITM,S013,NUMBER,5.0,5.0,,186,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0
A,C04_S017,STM_ITM,S017,NUMBER,5.0,5.0,,129,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0
A,C04_S018,STM_ITM,S018,NUMBER,5.0,5.0,,173,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0
A,C04_S020,STM_ITM,S020,NUMBER,5.0,5.0,,150,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0
A,C04_S021,STM_ITM,S021,NUMBER,5.0,5.0,,59,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
A,C04_S024,STM_ITM,S024,NUMBER,5.0,5.0,,360,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0
A,C04_S026,STM_ITM,S026,NUMBER,5.0,5.0,,362,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0
A,C04_S027,STM_ITM,S027,NUMBER,5.0,5.0,,65,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
A,C04_S028,STM_ITM,S028,NUMBER,5.0,5.0,,358,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0
A,C04_S032,STM_ITM,S032,NUMBER,5.0,5.0,,97,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0
A,C04_S042,STM_ITM,S042,NUMBER,5.0,5.0,,110,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0
A,C04_S043,STM_ITM,S043,NUMBER,5.0,5.0,,360,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0
A,C04_S046,STM_ITM,S046,NUMBER,5.0,5.0,,358,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0
A,C04_S052,STM_ITM,S052,NUMBER,5.0,5.0,,358,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0
A,C04_S055,STM_ITM,S055,NUMBER,5.0,5.0,,160,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0
A,C04_S056,STM_ITM,S056,NUMBER,5.0,5.0,,286,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0
A,C04_S059,STM_ITM,S059,NUMBER,5.0,5.0,,361,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0
A,C04_S064,STM_ITM,S064,NUMBER,5.0,5.0,,391,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0
A,C04_S066,STM_ITM,S066,NUMBER,5.0,5.0,,367,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0
A,C04_S067,STM_ITM,S067,NUMBER,5.0,5.0,,55,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
A,C04_S068,STM_ITM,S068,NUMBER,5.0,5.0,,21,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
A,C04_S072,STM_ITM,S072,NUMBER,5.0,5.0,,350,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0
A,C04_S073,STM_ITM,S073,NUMBER,5.0,5.0,,332,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0
A,C04_S076,STM_ITM,S076,NUMBER,5.0,5.0,,359,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0
