type,id,count,exposure_rate
section,A,3600,1.0
section,B,3600,1.0
item,I0001,101,0.03
item,I0002,231,0.06
item,I0003,361,0.1
item,I0004,175,0.05
item,I0005,169,0.05
item,I0006,171,0.05
item,I0007,133,0.04
item,I0008,162,0.05
item,I0009,103,0.03
item,I0010,50,0.01
item,I0011,112,0.03
item,I0012,37,0.01
item,I0013,1,0.0
item,I0014,2,0.0
item,I0015,7,0.0
item,I0016,5,0.0
item,I0017,5,0.0
item,I0018,2,0.0
item,I0019,3,0.0
item,I0020,1,0.0
item,I0021,2,0.0
item,I0022,3,0.0
item,I0023,2,0.0
item,I0024,2,0.0
item,I0025,0,0.0
item,I0026,0,0.0
item,I0027,0,0.0
item,I0028,0,0.0
item,I0029,0,0.0
item,I0030,0,0.0
item,I0031,0,0.0
item,I0032,0,0.0
item,I0033,0,0.0
item,I0034,0,0.0
item,I0035,0,0.0
item,I0036,0,0.0
item,I0037,357,0.1
item,I0038,221,0.06
item,I0039,162,0.05
item,I0040,193,0.05
item,I0041,176,0.05
item,I0042,216,0.06
item,I0043,74,0.02
item,I0044,128,0.04
item,I0045,52,0.01
item,I0046,133,0.04
item,I0047,50,0.01
item,I0048,23,0.01
item,I0049,0,0.0
item,I0050,0,0.0
item,I0051,0,0.0
item,I0052,0,0.0
item,I0053,0,0.0
item,I0054,0,0.0
item,I0055,0,0.0
item,I0056,0,0.0
item,I0057,0,0.0
item,I0058,0,0.0
item,I0059,0,0.0
item,I0060,0,0.0
item,I0061,228,0.06
item,I0062,228,0.06
item,I0063,228,0.06
item,I0064,228,0.06
item,I0065,0,0.0
item,I0066,0,0.0
item,I0067,158,0.04
item,I0068,228,0.06
item,I0069,222,0.06
item,I0070,13,0.0
item,I0071,209,0.06
item,I0072,4,0.0
item,I0073,19,0.01
item,I0074,0,0.0
item,I0075,19,0.01
item,I0076,19,0.01
item,I0077,19,0.01
item,I0078,0,0.0
item,I0079,19,0.01
item,I0080,19,0.01
item,I0081,0,0.0
item,I0082,19,0.01
item,I0083,0,0.0
item,I0084,19,0.01
item,I0085,22,0.01
item,I0086,238,0.07
item,I0087,19,0.01
item,I0088,92,0.03
item,I0089,16,0.0
item,I0090,358,0.1
item,I0091,359,0.1
item,I0092,292,0.08
item,I0093,333,0.09
item,I0094,341,0.09
item,I0095,328,0.09
item,I0096,323,0.09
item,I0097,0,0.0
item,I0098,0,0.0
item,I0099,0,0.0
item,I0100,0,0.0
item,I0101,0,0.0
item,I0102,0,0.0
item,I0103,0,0.0
item,I0104,0,0.0
item,I0105,0,0.0
item,I0106,0,0.0
item,I0107,0,0.0
item,I0108,0,0.0
item,I0109,29,0.01
item,I0110,361,0.1
item,I0111,56,0.02
item,I0112,349,0.1
item,I0113,162,0.05
item,I0114,360,0.1
item,I0115,346,0.1
item,I0116,346,0.1
item,I0117,5,0.0
item,I0118,173,0.05
item,I0119,311,0.09
item,I0120,174,0.05
item,I0121,4,0.0
item,I0122,1,0.0
item,I0123,11,0.0
item,I0124,170,0.05
item,I0125,170,0.05
item,I0126,161,0.04
item,I0127,0,0.0
item,I0128,68,0.02
item,I0129,170,0.05
item,I0130,164,0.05
item,I0131,169,0.05
item,I0132,166,0.05
item,I0133,0,0.0
item,I0134,0,0.0
item,I0135,1,0.0
item,I0136,1,0.0
item,I0137,0,0.0
item,I0138,1,0.0
item,I0139,1,0.0
item,I0140,1,0.0
item,I0141,0,0.0
item,I0142,1,0.0
item,I0143,1,0.0
item,I0144,0,0.0
item,I0145,161,0.04
item,I0146,77,0.02
item,I0147,45,0.01
item,I0148,105,0.03
item,I0149,32,0.01
item,I0150,151,0.04
item,I0151,80,0.02
item,I0152,44,0.01
item,I0153,106,0.03
item,I0154,54,0.02
item,I0155,54,0.02
item,I0156,21,0.01
item,I0157,15,0.0
item,I0158,322,0.09
item,I0159,360,0.1
item,I0160,361,0.1
item,I0161,353,0.1
item,I0162,17,0.0
item,I0163,350,0.1
item,I0164,14,0.0
item,I0165,346,0.1
item,I0166,341,0.09
item,I0167,21,0.01
item,I0168,328,0.09
item,I0169,229,0.06
item,I0170,18,0.01
item,I0171,192,0.05
item,I0172,167,0.05
item,I0173,352,0.1
item,I0174,316,0.09
item,I0175,324,0.09
item,I0176,253,0.07
item,I0177,158,0.04
item,I0178,31,0.01
item,I0179,312,0.09
item,I0180,313,0.09
item,I0181,175,0.05
item,I0182,277,0.08
item,I0183,1,0.0
item,I0184,68,0.02
item,I0185,276,0.08
item,I0186,269,0.07
item,I0187,25,0.01
item,I0188,260,0.07
item,I0189,15,0.0
item,I0190,258,0.07
item,I0191,268,0.07
item,I0192,258,0.07
item,I0193,87,0.02
item,I0194,25,0.01
item,I0195,124,0.03
item,I0196,112,0.03
item,I0197,109,0.03
item,I0198,88,0.02
item,I0199,0,0.0
item,I0200,35,0.01
item,I0201,0,0.0
item,I0202,0,0.0
item,I0203,1,0.0
item,I0204,64,0.02
item,I0205,146,0.04
item,I0206,129,0.04
item,I0207,45,0.01
item,I0208,144,0.04
item,I0209,98,0.03
item,I0210,22,0.01
item,I0211,102,0.03
item,I0212,89,0.02
item,I0213,32,0.01
item,I0214,19,0.01
item,I0215,24,0.01
item,I0216,15,0.0
item,I0217,205,0.06
item,I0218,52,0.01
item,I0219,205,0.06
item,I0220,205,0.06
item,I0221,204,0.06
item,I0222,73,0.02
item,I0223,203,0.06
item,I0224,163,0.05
item,I0225,137,0.04
item,I0226,21,0.01
item,I0227,77,0.02
item,I0228,0,0.0
item,I0229,34,0.01
item,I0230,53,0.01
item,I0231,150,0.04
item,I0232,140,0.04
item,I0233,0,0.0
item,I0234,0,0.0
item,I0235,14,0.0
item,I0236,0,0.0
item,I0237,132,0.04
item,I0238,114,0.03
item,I0239,112,0.03
item,I0240,1,0.0
item,I0241,52,0.01
item,I0242,7,0.0
item,I0243,59,0.02
item,I0244,2,0.0
item,I0245,40,0.01
item,I0246,53,0.01
item,I0247,23,0.01
item,I0248,10,0.0
item,I0249,0,0.0
item,I0250,38,0.01
item,I0251,11,0.0
item,I0252,0,0.0
item,I0253,0,0.0
item,I0254,0,0.0
item,I0255,0,0.0
item,I0256,0,0.0
