thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,1,Overall,Overall,25,16,25,1.0,1.588119,0.452618,1079,23,
1,2,Overall,Overall,25,12,25,1.0,0.417867,0.409811,1021,20,
1,3,Overall,Overall,25,16,25,1.5,0.936172,0.421696,1047,21,
1,4,Overall,Overall,25,15,25,1.5,1.084182,0.428136,1054,21,
1,5,Overall,Overall,25,9,25,-1.5,-1.430027,0.431317,928,22,
1,6,Overall,Overall,25,10,25,-0.5,-0.456943,0.419524,977,21,
1,7,Overall,Overall,25,12,25,0.0,0.286582,0.410658,1014,21,
1,8,Overall,Overall,25,6,25,-2.0,-2.042173,0.477804,898,24,
1,9,Overall,Overall,25,17,25,1.5,1.400609,0.450034,1070,23,
1,10,Overall,Overall,25,12,25,0.0,-0.740961,0.412364,963,21,
1,11,Overall,Overall,25,13,25,0.0,0.211249,0.406266,1011,20,
1,12,Overall,Overall,25,8,25,-2.0,-1.531806,0.440721,923,22,
1,13,Overall,Overall,25,17,25,1.5,1.385478,0.438041,1069,22,
1,14,Overall,Overall,25,7,25,-2.0,-2.22286,0.467441,889,23,
1,15,Overall,Overall,25,16,25,1.0,1.859973,0.443013,1093,22,
1,16,Overall,Overall,25,9,25,-1.5,-1.550607,0.434155,922,22,
1,17,Overall,Overall,25,12,25,0.5,0.540542,0.410522,1027,21,
1,18,Overall,Overall,25,9,25,-2.0,-1.689182,0.431951,916,22,
1,19,Overall,Overall,25,9,25,-1.5,-1.448138,0.426959,928,21,
1,20,Overall,Overall,25,15,25,1.0,1.37401,0.42783,1069,21,
1,21,Overall,Overall,25,11,25,-1.0,-1.11078,0.41381,944,21,
1,22,Overall,Overall,25,10,25,-1.5,-1.511041,0.423514,924,21,
1,23,Overall,Overall,25,7,25,-2.0,-2.276011,0.465369,886,23,
1,24,Overall,Overall,25,12,25,-1.0,-0.634437,0.415895,968,21,
1,25,Overall,Overall,25,19,25,1.5,1.330669,0.479546,1067,24,
1,26,Overall,Overall,25,7,25,-2.0,-1.720094,0.470802,914,24,
1,27,Overall,Overall,25,13,25,-0.5,-0.587624,0.410497,971,21,
1,28,Overall,Overall,25,11,25,-1.5,-1.368346,0.420961,932,21,
1,29,Overall,Overall,25,7,25,-1.5,-1.933048,0.458396,903,23,
1,30,Overall,Overall,25,11,25,-1.0,-1.020327,0.411009,949,21,
1,31,Overall,Overall,25,12,25,0.0,0.668959,0.421862,1033,21,
1,32,Overall,Overall,25,15,25,2.0,1.387251,0.43038,1069,22,
1,33,Overall,Overall,25,10,25,-0.5,0.18609,0.421382,1009,21,
1,34,Overall,Overall,25,9,25,-1.0,-0.410829,0.423706,979,21,
1,35,Overall,Overall,25,20,25,2.0,2.822901,0.522161,1141,26,
1,36,Overall,Overall,25,11,25,-1.5,-0.882114,0.418099,956,21,
1,37,Overall,Overall,25,14,25,1.0,0.453901,0.409456,1023,20,
1,38,Overall,Overall,25,14,25,0.0,0.258923,0.410566,1013,21,
1,39,Overall,Overall,25,19,25,2.0,1.84614,0.484185,1092,24,
1,40,Overall,Overall,25,14,25,0.5,0.730224,0.409459,1037,20,
1,41,Overall,Overall,25,11,25,-1.5,-1.098584,0.410428,945,21,
1,42,Overall,Overall,25,7,25,-1.5,-2.088573,0.459793,896,23,
1,43,Overall,Overall,25,12,25,-0.5,-0.938081,0.418499,953,21,
1,44,Overall,Overall,25,17,25,0.5,1.724687,0.445914,1086,22,
1,45,Overall,Overall,25,14,25,1.0,0.870549,0.411026,1044,21,
1,46,Overall,Overall,25,7,25,-2.0,-2.036614,0.475929,898,24,
1,47,Overall,Overall,25,10,25,-0.5,-1.017227,0.418018,949,21,
1,48,Overall,Overall,25,9,25,-0.5,-0.629586,0.425313,969,21,
1,49,Overall,Overall,25,14,25,0.0,-0.322753,0.413272,984,21,
1,50,Overall,Overall,25,14,25,1.5,1.3391,0.422047,1067,21,
1,51,Overall,Overall,25,23,25,2.0,3.821797,0.759951,1191,38,
1,52,Overall,Overall,25,5,25,-2.0,-2.538841,0.513743,873,26,
1,53,Overall,Overall,25,12,25,0.5,0.098188,0.412116,1005,21,
1,54,Overall,Overall,25,9,25,-1.0,-0.783479,0.425652,961,21,
1,55,Overall,Overall,25,18,25,2.0,2.337431,0.468514,1117,23,
1,56,Overall,Overall,25,9,25,-0.5,-0.695823,0.426885,965,21,
1,57,Overall,Overall,25,8,25,-1.0,-1.381567,0.446452,931,22,
1,58,Overall,Overall,25,8,25,-1.5,-1.698907,0.445972,915,22,
1,59,Overall,Overall,25,13,25,0.0,0.53128,0.406521,1027,20,
1,60,Overall,Overall,25,12,25,0.5,0.77791,0.416117,1039,21,
1,61,Overall,Overall,25,9,25,-0.5,-0.03205,0.428334,998,21,
1,62,Overall,Overall,25,17,25,2.0,1.917402,0.451998,1096,23,
1,63,Overall,Overall,25,20,25,1.5,2.693142,0.514787,1135,26,
1,64,Overall,Overall,25,15,25,1.0,1.251142,0.422935,1063,21,
1,65,Overall,Overall,25,10,25,-1.0,-1.441102,0.422313,928,21,
1,66,Overall,Overall,25,8,25,-1.5,-1.443444,0.453414,928,23,
1,67,Overall,Overall,25,15,25,1.5,1.712448,0.430359,1086,22,
1,68,Overall,Overall,25,12,25,0.0,-0.032907,0.406802,998,20,
1,69,Overall,Overall,25,21,25,2.0,2.820905,0.566464,1141,28,
1,70,Overall,Overall,25,17,25,0.5,0.908589,0.440563,1045,22,
1,71,Overall,Overall,25,19,25,2.0,2.42396,0.495502,1121,25,
1,72,Overall,Overall,25,20,25,2.0,1.720465,0.509085,1086,25,
1,73,Overall,Overall,25,13,25,0.5,0.210021,0.414497,1011,21,
1,74,Overall,Overall,25,14,25,1.5,1.222271,0.422517,1061,21,
1,75,Overall,Overall,25,12,25,-0.5,-0.693377,0.408973,965,20,
1,76,Overall,Overall,25,14,25,1.0,1.004155,0.413342,1050,21,
1,77,Overall,Overall,25,7,25,-1.0,-1.104704,0.457165,945,23,
1,78,Overall,Overall,25,15,25,1.0,1.331996,0.431231,1067,22,
1,79,Overall,Overall,25,12,25,-1.5,-1.392683,0.422577,930,21,
1,80,Overall,Overall,25,12,25,-0.5,-0.259348,0.407294,987,20,
1,81,Overall,Overall,25,13,25,-1.0,-0.637085,0.408092,968,20,
