type,id,count,exposure_rate
section,A,1000,1.0
section,B,100,0.1
section,C,788,0.79
section,D,112,0.11
item,A01,600,0.6
item,A02,990,0.99
item,A03,414,0.41
item,A04,1000,1.0
item,A05,738,0.74
item,A06,923,0.92
item,A07,325,0.33
item,A08,575,0.57
item,A09,1000,1.0
item,A10,816,0.82
item,A11,1000,1.0
item,A12,992,0.99
item,A13,1000,1.0
item,A14,1000,1.0
item,A15,546,0.55
item,B01,32,0.03
item,B02,29,0.03
item,B03,84,0.08
item,B04,76,0.08
item,B05,47,0.05
item,B06,98,0.1
item,B07,93,0.09
item,B08,91,0.09
item,B09,11,0.01
item,B10,10,0.01
item,B11,58,0.06
item,B12,61,0.06
item,B13,90,0.09
item,B14,53,0.05
item,B15,100,0.1
item,C01,171,0.17
item,C02,36,0.04
item,C03,60,0.06
item,C04,664,0.66
item,C05,82,0.08
item,C06,205,0.21
item,C07,434,0.43
item,C08,533,0.53
item,C09,379,0.38
item,C10,770,0.77
item,C11,423,0.42
item,C12,332,0.33
item,C13,626,0.63
item,C14,269,0.27
item,C15,736,0.74
item,D01,71,0.07
item,D02,65,0.07
item,D03,59,0.06
item,D04,9,0.01
item,D05,48,0.05
item,D06,11,0.01
item,D07,11,0.01
item,D08,105,0.11
item,D09,92,0.09
item,D10,23,0.02
item,D11,110,0.11
item,D12,84,0.08
item,D13,112,0.11
item,D14,91,0.09
item,D15,51,0.05
