type,id,count,exposure_rate
section,A,3600,1.0
item,I001,0,0.0
item,I002,0,0.0
item,I003,263,0.07
item,I004,0,0.0
item,I005,0,0.0
item,I006,3337,0.93
item,I007,2297,0.64
item,I008,916,0.25
item,I009,27,0.01
item,I010,0,0.0
item,I011,0,0.0
item,I012,1430,0.4
item,I013,1207,0.34
item,I014,441,0.12
item,I015,0,0.0
item,I016,3,0.0
item,I017,879,0.24
item,I018,0,0.0
item,I019,0,0.0
item,I020,1617,0.45
item,I021,0,0.0
item,I022,0,0.0
item,I023,1,0.0
item,I024,54,0.02
item,I025,1982,0.55
item,I026,45,0.01
item,I027,0,0.0
item,I028,31,0.01
item,I029,2471,0.69
item,I030,3081,0.86
item,I031,1518,0.42
item,I032,478,0.13
item,I033,3234,0.9
item,I034,3114,0.87
item,I035,1811,0.5
item,I036,1272,0.35
item,I037,6,0.0
item,I038,10,0.0
item,I039,2,0.0
item,I040,1651,0.46
item,I041,1931,0.54
item,I042,13,0.0
item,I043,0,0.0
item,I044,2,0.0
item,I045,1766,0.49
item,I046,1819,0.51
item,I047,0,0.0
item,I048,0,0.0
item,I049,0,0.0
item,I050,1886,0.52
item,I051,1700,0.47
item,I052,21,0.01
item,I053,2704,0.75
item,I054,0,0.0
item,I055,0,0.0
item,I056,266,0.07
item,I057,849,0.24
item,I058,2485,0.69
item,I059,1290,0.36
item,I060,0,0.0
item,I061,321,0.09
item,I062,1989,0.55
item,I063,454,0.13
item,I064,1,0.0
item,I065,0,0.0
item,I066,127,0.04
item,I067,3017,0.84
item,I068,0,0.0
item,I069,0,0.0
item,I070,1,0.0
item,I071,0,0.0
item,I072,0,0.0
item,I073,0,0.0
item,I074,19,0.01
item,I075,0,0.0
item,I076,34,0.01
item,I077,30,0.01
item,I078,0,0.0
item,I079,12,0.0
item,I080,0,0.0
item,I081,857,0.24
item,I082,0,0.0
item,I083,0,0.0
item,I084,2,0.0
item,I085,342,0.1
item,I086,2317,0.64
item,I087,0,0.0
item,I088,169,0.05
item,I089,1055,0.29
item,I090,2368,0.66
item,I091,2726,0.76
item,I092,1,0.0
item,I093,0,0.0
item,I094,0,0.0
item,I095,2,0.0
item,I096,2794,0.78
item,I097,1,0.0
item,I098,0,0.0
item,I099,0,0.0
item,I100,1199,0.33
item,I101,0,0.0
item,I102,1611,0.45
item,I103,0,0.0
item,I104,966,0.27
item,I105,0,0.0
item,I106,4,0.0
item,I107,0,0.0
item,I108,2942,0.82
item,I109,0,0.0
item,I110,732,0.2
item,I111,0,0.0
item,I112,0,0.0
item,I113,1055,0.29
item,I114,0,0.0
item,I115,12,0.0
item,I116,148,0.04
item,I117,0,0.0
item,I118,0,0.0
item,I119,31,0.01
item,I120,171,0.05
item,I121,3185,0.88
item,I122,0,0.0
