thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,1,Overall,Overall,35,25,41,1.5,1.1732,0.305756,1059,15,
1,2,Overall,Overall,35,11,41,-0.5,-0.123773,0.327777,994,16,
1,3,Overall,Overall,35,7,41,-2.0,-1.592447,0.511318,920,26,
1,4,Overall,Overall,35,9,41,-1.0,-1.273855,0.459939,936,23,
1,5,Overall,Overall,35,4,41,-2.0,-3.041611,0.832946,848,42,
1,6,Overall,Overall,35,33,41,2.0,2.857748,0.392018,1143,20,
1,7,Overall,Overall,35,28,41,2.0,2.141994,0.334625,1107,17,
1,8,Overall,Overall,35,15,41,0.0,0.003996,0.318509,1000,16,
1,9,Overall,Overall,35,6,41,-2.0,-1.693375,0.530536,915,27,
1,10,Overall,Overall,35,17,41,0.0,0.429635,0.302158,1021,15,
1,11,Overall,Overall,35,18,41,0.5,0.637336,0.294807,1032,15,
1,12,Overall,Overall,35,10,41,0.0,-0.674341,0.382154,966,19,
1,13,Overall,Overall,35,7,41,-2.0,-1.467183,0.489836,927,24,
1,14,Overall,Overall,35,29,41,2.0,1.98688,0.331017,1099,17,
1,15,Overall,Overall,35,25,41,1.5,1.512313,0.306036,1076,15,
1,16,Overall,Overall,35,20,41,1.5,1.499491,0.322305,1075,16,
1,17,Overall,Overall,35,19,41,0.5,0.528832,0.296935,1026,15,
1,18,Overall,Overall,35,20,41,1.0,0.784872,0.297726,1039,15,
1,19,Overall,Overall,35,19,41,1.0,0.755476,0.297176,1038,15,
1,20,Overall,Overall,35,24,41,2.0,1.925089,0.333166,1096,17,
1,21,Overall,Overall,35,17,41,0.5,0.641258,0.295125,1032,15,
1,22,Overall,Overall,35,27,41,2.0,2.164357,0.335961,1108,17,
1,23,Overall,Overall,35,23,41,2.0,1.965605,0.33308,1098,17,
1,24,Overall,Overall,35,6,41,-2.0,-1.631617,0.517623,918,26,
1,25,Overall,Overall,35,13,41,0.5,-0.244534,0.337106,988,17,
1,26,Overall,Overall,35,16,41,0.0,0.258256,0.307329,1013,15,
1,27,Overall,Overall,35,26,41,2.0,2.109471,0.333561,1105,17,
1,28,Overall,Overall,35,10,41,-0.5,-0.488129,0.358683,976,18,
1,29,Overall,Overall,35,8,41,-1.0,-1.215394,0.451632,939,23,
1,30,Overall,Overall,35,26,41,2.0,1.330242,0.308343,1067,15,
1,31,Overall,Overall,35,8,41,-0.5,-0.877938,0.405681,956,20,
1,32,Overall,Overall,35,3,41,-2.0,-3.440359,0.954357,828,48,
1,33,Overall,Overall,35,7,41,-1.5,-1.362219,0.476838,932,24,
1,34,Overall,Overall,35,23,41,1.0,1.171469,0.299417,1059,15,
1,35,Overall,Overall,35,7,41,-1.0,-1.189476,0.447099,941,22,
1,36,Overall,Overall,35,24,41,2.0,1.697474,0.314653,1085,16,
1,37,Overall,Overall,35,7,41,-2.0,-1.444278,0.486344,928,24,
1,38,Overall,Overall,35,12,41,0.0,-0.577759,0.372733,971,19,
1,39,Overall,Overall,35,14,41,-0.5,-0.098046,0.326711,995,16,
1,40,Overall,Overall,35,8,41,-0.5,-0.759359,0.389468,962,19,
1,41,Overall,Overall,35,9,41,-1.5,-0.770617,0.392469,961,20,
1,42,Overall,Overall,35,28,41,1.5,1.786941,0.319225,1089,16,
1,43,Overall,Overall,35,10,41,-1.0,-0.776837,0.391266,961,20,
1,44,Overall,Overall,35,24,41,1.5,1.290814,0.305924,1065,15,
1,45,Overall,Overall,35,5,41,-2.0,-2.151085,0.614604,892,31,
1,46,Overall,Overall,35,11,41,-1.0,-0.683686,0.380437,966,19,
1,47,Overall,Overall,35,8,41,-2.0,-1.825487,0.554906,909,28,
1,48,Overall,Overall,35,9,41,-1.0,-0.631557,0.376884,968,19,
1,49,Overall,Overall,35,3,41,-2.0,-2.81117,0.769307,859,38,
1,50,Overall,Overall,35,10,41,-1.5,-0.911755,0.40881,954,20,
1,51,Overall,Overall,35,26,41,1.5,1.630565,0.310659,1082,16,
1,52,Overall,Overall,35,26,41,2.0,1.719196,0.315384,1086,16,
1,53,Overall,Overall,35,26,41,2.0,1.727589,0.316739,1086,16,
1,54,Overall,Overall,35,25,41,2.0,2.034346,0.330666,1102,17,
1,55,Overall,Overall,35,7,41,-1.0,-1.179251,0.446219,941,22,
1,56,Overall,Overall,35,8,41,-1.5,-1.443848,0.490438,928,25,
1,57,Overall,Overall,35,8,41,-1.0,-0.859523,0.403434,957,20,
1,58,Overall,Overall,35,8,41,-2.0,-1.200183,0.449243,940,22,
1,59,Overall,Overall,35,18,41,0.5,0.694585,0.294745,1035,15,
1,60,Overall,Overall,35,28,41,2.0,1.572844,0.320071,1079,16,
1,61,Overall,Overall,35,16,41,0.0,0.127172,0.314823,1006,16,
1,62,Overall,Overall,35,6,41,-2.0,-1.727364,0.53684,914,27,
1,63,Overall,Overall,35,8,41,-1.0,-1.067113,0.429751,947,21,
1,64,Overall,Overall,35,20,41,1.0,0.997033,0.297379,1050,15,
1,65,Overall,Overall,35,30,41,2.0,2.732789,0.374584,1137,19,
1,66,Overall,Overall,35,6,41,-2.0,-1.947226,0.574991,903,29,
1,67,Overall,Overall,35,10,41,-1.0,-0.690465,0.383422,965,19,
1,68,Overall,Overall,35,5,41,-2.0,-1.551545,0.507732,922,25,
1,69,Overall,Overall,35,7,41,-1.5,-1.377412,0.477435,931,24,
1,70,Overall,Overall,35,23,41,2.0,2.072141,0.337817,1104,17,
1,71,Overall,Overall,35,29,41,2.0,2.766628,0.378665,1138,19,
1,72,Overall,Overall,35,23,41,1.5,1.334645,0.300271,1067,15,
1,73,Overall,Overall,35,19,41,0.5,0.888817,0.29801,1044,15,
1,74,Overall,Overall,35,22,41,1.0,0.980663,0.296037,1049,15,
1,75,Overall,Overall,35,7,41,-1.5,-1.755058,0.541086,912,27,
1,76,Overall,Overall,35,20,41,0.5,0.768735,0.294605,1038,15,
1,77,Overall,Overall,35,10,41,-1.0,-0.59125,0.36975,970,18,
1,78,Overall,Overall,35,17,41,0.5,0.574213,0.300272,1029,15,
1,79,Overall,Overall,35,13,41,0.0,-0.128485,0.328808,994,16,
1,80,Overall,Overall,35,24,41,1.0,1.015395,0.30012,1051,15,
1,81,Overall,Overall,35,3,41,-2.0,-3.290239,0.90568,835,45,
1,82,Overall,Overall,35,12,41,-0.5,-0.11583,0.325548,994,16,
1,83,Overall,Overall,35,7,41,-1.5,-1.476648,0.494808,926,25,
1,84,Overall,Overall,35,14,41,0.0,-0.138865,0.332919,993,17,
1,85,Overall,Overall,35,4,41,-1.5,-2.835563,0.772545,858,39,
1,86,Overall,Overall,35,15,41,0.5,0.386346,0.299743,1019,15,
1,87,Overall,Overall,35,11,41,0.0,-0.666423,0.381452,967,19,
1,88,Overall,Overall,35,7,41,-1.5,-1.107021,0.43578,945,22,
1,89,Overall,Overall,35,31,41,2.0,2.57736,0.363121,1129,18,
1,90,Overall,Overall,35,26,41,1.5,1.98197,0.3288,1099,16,
1,91,Overall,Overall,35,9,41,-1.0,-0.961368,0.415798,952,21,
1,92,Overall,Overall,35,8,41,0.0,-0.891125,0.409746,955,20,
1,93,Overall,Overall,35,10,41,-1.0,-0.663263,0.379247,967,19,
1,94,Overall,Overall,35,20,41,1.5,0.943473,0.296067,1047,15,
1,95,Overall,Overall,35,9,41,-0.5,-0.419398,0.352119,979,18,
1,96,Overall,Overall,35,25,41,1.0,1.405965,0.308951,1070,15,
1,97,Overall,Overall,35,26,41,1.5,2.025614,0.329279,1101,16,
1,98,Overall,Overall,35,29,41,2.0,2.276867,0.341529,1114,17,
1,99,Overall,Overall,35,8,41,-1.0,-1.251613,0.456646,937,23,
1,100,Overall,Overall,35,26,41,2.0,1.960825,0.327294,1098,16,
1,101,Overall,Overall,35,11,41,-0.5,-0.262039,0.336473,987,17,
1,102,Overall,Overall,35,6,41,-1.5,-1.589619,0.510314,921,26,
1,103,Overall,Overall,35,32,41,1.5,2.091372,0.364557,1105,18,
1,104,Overall,Overall,35,27,41,1.5,1.799292,0.319744,1090,16,
1,105,Overall,Overall,35,11,41,0.5,-0.641305,0.376939,968,19,
1,106,Overall,Overall,35,9,41,-1.0,-0.628497,0.374616,969,19,
1,107,Overall,Overall,35,19,41,1.0,0.571897,0.298372,1029,15,
1,108,Overall,Overall,35,11,41,-0.5,-0.111914,0.325283,994,16,
1,109,Overall,Overall,35,27,41,1.5,1.550046,0.307593,1078,15,
1,110,Overall,Overall,35,13,41,0.0,-0.13352,0.327055,993,16,
1,111,Overall,Overall,35,7,41,-1.5,-1.449768,0.491125,928,25,
1,112,Overall,Overall,35,6,41,-2.0,-1.66809,0.52716,917,26,
1,113,Overall,Overall,35,9,41,0.0,-0.32742,0.34504,984,17,
1,114,Overall,Overall,35,10,41,-0.5,-0.616311,0.375733,969,19,
1,115,Overall,Overall,35,10,41,-0.5,-0.40586,0.352037,980,18,
1,116,Overall,Overall,35,11,41,-1.0,-0.811573,0.397489,959,20,
1,117,Overall,Overall,35,12,41,0.0,-0.040699,0.321997,998,16,
1,118,Overall,Overall,35,9,41,-1.0,-0.831103,0.397961,958,20,
1,119,Overall,Overall,35,12,41,0.0,-0.369352,0.348546,982,17,
1,120,Overall,Overall,35,15,41,0.0,0.209606,0.306288,1010,15,
1,121,Overall,Overall,35,19,41,0.5,0.70879,0.29452,1035,15,
1,122,Overall,Overall,35,19,41,0.5,1.052435,0.297556,1053,15,
1,123,Overall,Overall,35,19,41,1.0,0.780246,0.299909,1039,15,
1,124,Overall,Overall,35,5,41,-1.5,-2.216079,0.628522,889,31,
1,125,Overall,Overall,35,8,41,-1.5,-1.221595,0.454133,939,23,
1,126,Overall,Overall,35,2,41,-2.0,-3.967697,1.131796,802,57,
1,127,Overall,Overall,35,17,41,0.5,0.782916,0.300059,1039,15,
1,128,Overall,Overall,35,21,41,1.0,0.992519,0.296343,1050,15,
1,129,Overall,Overall,35,15,41,0.0,0.045577,0.31613,1002,16,
1,130,Overall,Overall,35,22,41,1.0,1.293106,0.299461,1065,15,
1,131,Overall,Overall,35,13,41,-0.5,-0.008511,0.319258,1000,16,
1,132,Overall,Overall,35,8,41,-1.0,-0.697144,0.384206,965,19,
1,133,Overall,Overall,35,9,41,-0.5,-0.205871,0.336026,990,17,
1,134,Overall,Overall,35,28,41,2.0,1.779925,0.318576,1089,16,
1,135,Overall,Overall,35,19,41,0.0,0.454152,0.301199,1023,15,
1,136,Overall,Overall,35,9,41,-1.0,-1.061267,0.429045,947,21,
1,137,Overall,Overall,35,27,41,1.5,1.468721,0.307778,1073,15,
1,138,Overall,Overall,35,27,41,1.5,1.798299,0.319134,1090,16,
1,139,Overall,Overall,35,27,41,2.0,1.744801,0.316523,1087,16,
1,140,Overall,Overall,35,15,41,-0.5,0.038681,0.317622,1002,16,
1,141,Overall,Overall,35,19,41,0.5,0.664785,0.294654,1033,15,
1,142,Overall,Overall,35,19,41,1.0,0.989422,0.300468,1049,15,
1,143,Overall,Overall,35,14,41,0.0,0.048725,0.313917,1002,16,
1,144,Overall,Overall,35,12,41,-0.5,-0.033778,0.320486,998,16,
1,145,Overall,Overall,35,6,41,-2.0,-1.569186,0.508014,922,25,
1,146,Overall,Overall,35,27,41,1.5,2.2113,0.337441,1111,17,
1,147,Overall,Overall,35,8,41,-0.5,-0.812203,0.397539,959,20,
1,148,Overall,Overall,35,7,41,-1.0,-1.318109,0.468209,934,23,
1,149,Overall,Overall,35,8,41,-1.0,-1.166759,0.444358,942,22,
1,150,Overall,Overall,35,7,41,-2.0,-1.661573,0.525263,917,26,
1,151,Overall,Overall,35,4,41,-2.0,-2.657152,0.730245,867,37,
1,152,Overall,Overall,35,13,41,-0.5,-0.295913,0.342134,985,17,
1,153,Overall,Overall,35,11,41,-0.5,-0.572143,0.369428,971,18,
1,154,Overall,Overall,35,11,41,-0.5,-0.215418,0.335623,989,17,
1,155,Overall,Overall,35,28,41,1.5,1.81044,0.331605,1091,17,
1,156,Overall,Overall,35,21,41,1.0,0.958186,0.296148,1048,15,
1,157,Overall,Overall,35,19,41,1.0,1.024574,0.306208,1051,15,
1,158,Overall,Overall,35,6,41,-2.0,-1.778976,0.546134,911,27,
1,159,Overall,Overall,35,9,41,-0.5,-0.792143,0.397965,960,20,
1,160,Overall,Overall,35,25,41,1.5,1.620931,0.310162,1081,16,
1,161,Overall,Overall,35,7,41,-1.5,-1.347072,0.47438,933,24,
1,162,Overall,Overall,35,13,41,0.0,0.245915,0.306333,1012,15,
1,163,Overall,Overall,35,12,41,-0.5,-0.489734,0.362333,976,18,
1,164,Overall,Overall,35,6,41,-2.0,-1.675232,0.528439,916,26,
1,165,Overall,Overall,35,29,41,1.5,1.658322,0.316495,1083,16,
1,166,Overall,Overall,35,10,41,-2.0,-0.792561,0.395293,960,20,
1,167,Overall,Overall,35,24,41,1.0,1.291319,0.300446,1065,15,
1,168,Overall,Overall,35,14,41,0.0,-0.120102,0.335503,994,17,
1,169,Overall,Overall,35,8,41,-0.5,-0.691634,0.38147,965,19,
1,170,Overall,Overall,35,25,41,1.5,1.447591,0.30348,1072,15,
1,171,Overall,Overall,35,6,41,-2.0,-1.421079,0.48671,929,24,
1,172,Overall,Overall,35,17,41,0.5,0.482534,0.29792,1024,15,
1,173,Overall,Overall,35,27,41,2.0,1.748557,0.316891,1087,16,
1,174,Overall,Overall,35,4,41,-1.0,-2.339443,0.656208,883,33,
1,175,Overall,Overall,35,5,41,-1.0,-1.385822,0.484096,931,24,
1,176,Overall,Overall,35,4,41,-1.5,-2.85563,0.780999,857,39,
1,177,Overall,Overall,35,12,41,0.0,-0.041352,0.322022,998,16,
1,178,Overall,Overall,35,13,41,0.0,-0.130258,0.327382,993,16,
1,179,Overall,Overall,35,8,41,-1.0,-1.092543,0.433475,945,22,
1,180,Overall,Overall,35,27,41,2.0,2.146811,0.336447,1107,17,
1,181,Overall,Overall,35,26,41,1.5,1.548366,0.306615,1077,15,
1,182,Overall,Overall,35,22,41,1.0,0.996454,0.295948,1050,15,
1,183,Overall,Overall,35,14,41,0.5,0.322943,0.310477,1016,16,
1,184,Overall,Overall,35,10,41,-0.5,-0.971619,0.427259,951,21,
1,185,Overall,Overall,35,8,41,-1.5,-1.095642,0.435038,945,22,
1,186,Overall,Overall,35,7,41,-1.5,-1.329055,0.46832,934,23,
1,187,Overall,Overall,35,21,41,2.0,1.771318,0.332051,1089,17,
1,188,Overall,Overall,35,24,41,1.5,1.844631,0.323984,1092,16,
1,189,Overall,Overall,35,10,41,-1.0,-0.426459,0.352267,979,18,
1,190,Overall,Overall,35,18,41,0.5,0.441292,0.298916,1022,15,
1,191,Overall,Overall,35,27,41,2.0,2.111149,0.33283,1106,17,
1,192,Overall,Overall,35,25,41,2.0,1.988931,0.328261,1099,16,
1,193,Overall,Overall,35,25,41,2.0,1.547802,0.306793,1077,15,
1,194,Overall,Overall,35,12,41,0.0,-0.290458,0.340327,985,17,
1,195,Overall,Overall,35,8,41,-2.0,-0.975712,0.416581,951,21,
1,196,Overall,Overall,35,17,41,0.5,0.410906,0.29927,1021,15,
1,197,Overall,Overall,35,25,41,2.0,1.603567,0.309175,1080,15,
1,198,Overall,Overall,35,21,41,1.0,0.929777,0.296862,1046,15,
1,199,Overall,Overall,35,15,41,0.0,-0.071539,0.324768,996,16,
1,200,Overall,Overall,35,24,41,0.5,0.927079,0.297771,1046,15,
1,201,Overall,Overall,35,14,41,0.0,-0.115971,0.328135,994,16,
1,202,Overall,Overall,35,22,41,2.0,1.802541,0.326156,1090,16,
1,203,Overall,Overall,35,4,41,-2.0,-2.655467,0.726034,867,36,
1,204,Overall,Overall,35,28,41,1.5,1.664305,0.312915,1083,16,
1,205,Overall,Overall,35,6,41,-1.0,-2.094447,0.603138,895,30,
1,206,Overall,Overall,35,13,41,0.5,0.143481,0.309113,1007,15,
1,207,Overall,Overall,35,5,41,-1.5,-2.077499,0.601243,896,30,
1,208,Overall,Overall,35,7,41,-2.0,-1.661534,0.523039,917,26,
1,209,Overall,Overall,35,7,41,-1.5,-1.26576,0.458468,937,23,
