section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
A,C01,ITM,,NUMBER,35.0,35.0,,3600,1.0,35.0,35.0,35.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600
A,C02,ITM,,NUMBER,5.0,5.0,,3600,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C03,ITM,,NUMBER,10.0,10.0,,3600,1.0,10.0,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C04,ITM,,NUMBER,30.0,30.0,,3600,1.0,30.0,30.0,30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0
A,C05,ITM,,NUMBER,2.0,2.0,,3600,1.0,2.0,2.0,2.0,0.0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06,ITM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07,ITM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C08,ITM,,NUMBER,2.0,2.0,,3600,1.0,2.0,2.0,2.0,0.0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C09,ITM,,NUMBER,0.0,1.0,,3600,1.0,0.0,1.0,0.3,0.458,2519,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C10,ITM,,NUMBER,0.0,1.0,,3600,1.0,0.0,1.0,0.998,0.047,8,3592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C11,ITM,,NUMBER,0.0,1.0,,3600,1.0,0.0,1.0,0.503,0.5,1790,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C12,ITM,,NUMBER,3.0,3.0,,3600,1.0,3.0,3.0,3.0,0.0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C13,ITM,,NUMBER,0.0,1.0,,3600,1.0,0.0,1.0,0.454,0.498,1965,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C14,ITM,,NUMBER,0.0,1.0,,3600,1.0,0.0,1.0,0.625,0.484,1350,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
