thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,1,Overall,Overall,35,20,41,1.0,0.707996,0.295414,1035,15,
1,2,Overall,Overall,35,8,41,-1.0,-1.479664,0.540048,926,27,
1,3,Overall,Overall,35,26,41,1.5,2.058821,0.367654,1103,18,
1,4,Overall,Overall,35,10,41,-0.5,-0.085785,0.487728,996,24,
1,5,Overall,Overall,35,12,41,-0.5,-0.52101,0.382181,974,19,
1,6,Overall,Overall,35,4,41,-2.0,-2.446328,0.728693,878,36,
1,7,Overall,Overall,35,25,41,1.5,1.637096,0.350418,1082,18,
1,8,Overall,Overall,35,22,41,0.5,1.159189,0.341064,1058,17,
1,9,Overall,Overall,35,11,41,0.0,-0.486123,0.426876,976,21,
1,10,Overall,Overall,35,24,41,2.0,2.218778,0.376305,1111,19,
1,11,Overall,Overall,35,3,41,-2.0,-2.898252,0.856988,855,43,
1,12,Overall,Overall,35,28,41,2.0,2.344231,0.350615,1117,18,
1,13,Overall,Overall,35,7,41,-1.5,-1.445492,0.559199,928,28,
1,14,Overall,Overall,35,12,41,-0.5,-0.226872,0.405558,989,20,
1,15,Overall,Overall,35,16,41,1.5,1.205198,0.3636,1060,18,
1,16,Overall,Overall,35,12,41,0.0,-0.467214,0.431672,977,22,
1,17,Overall,Overall,35,10,41,-1.0,-0.740549,0.473079,963,24,
1,18,Overall,Overall,35,6,41,-0.5,-1.255427,0.51869,937,26,
1,19,Overall,Overall,35,21,41,1.5,1.832659,0.348661,1092,17,
1,20,Overall,Overall,35,18,41,0.5,0.689009,0.344192,1034,17,
1,21,Overall,Overall,35,22,41,1.5,1.312429,0.345536,1066,17,
1,22,Overall,Overall,35,17,41,-0.5,-0.079042,0.382636,996,19,
1,23,Overall,Overall,35,26,41,1.5,1.905457,0.364532,1095,18,
1,24,Overall,Overall,35,20,41,1.5,1.028845,0.345203,1051,17,
1,25,Overall,Overall,35,24,41,1.5,1.599169,0.337617,1080,17,
1,26,Overall,Overall,35,23,41,1.0,1.052177,0.343779,1053,17,
1,27,Overall,Overall,35,3,41,-2.0,-2.58379,0.794533,871,40,
1,28,Overall,Overall,35,3,41,-1.5,-3.27989,0.984577,836,49,
1,29,Overall,Overall,35,6,41,-1.5,-1.840729,0.605297,908,30,
1,30,Overall,Overall,35,13,41,0.0,-0.071747,0.353143,996,18,
1,31,Overall,Overall,35,11,41,0.5,-0.266578,0.415757,987,21,
1,32,Overall,Overall,35,17,41,0.5,0.951823,0.342822,1048,17,
1,33,Overall,Overall,35,21,41,1.5,1.621676,0.332347,1081,17,
1,34,Overall,Overall,35,5,41,-1.0,-1.173661,0.503415,941,25,
1,35,Overall,Overall,35,8,41,-2.0,-1.133435,0.477785,943,24,
1,36,Overall,Overall,35,23,41,2.0,1.847086,0.347633,1092,17,
1,37,Overall,Overall,35,17,41,0.5,0.615199,0.351049,1031,18,
1,38,Overall,Overall,35,6,41,-1.0,-1.112593,0.494899,944,25,
1,39,Overall,Overall,35,27,41,2.0,2.067679,0.365084,1103,18,
1,40,Overall,Overall,35,22,41,1.5,1.616691,0.374638,1081,19,
1,41,Overall,Overall,35,13,41,0.5,0.045081,0.368059,1002,18,
1,42,Overall,Overall,35,19,41,0.5,1.115194,0.333617,1056,17,
1,43,Overall,Overall,35,5,41,-1.5,-1.784365,0.620445,911,31,
1,44,Overall,Overall,35,11,41,0.0,-0.119459,0.412041,994,21,
1,45,Overall,Overall,35,15,41,-0.5,0.073963,0.376459,1004,19,
1,46,Overall,Overall,35,16,41,1.5,0.731491,0.348395,1037,17,
1,47,Overall,Overall,35,5,41,-2.0,-2.6073,0.778353,870,39,
1,48,Overall,Overall,35,4,41,-1.5,-2.290496,0.724171,885,36,
1,49,Overall,Overall,35,21,41,1.5,1.357241,0.355134,1068,18,
1,50,Overall,Overall,35,21,41,2.0,1.704564,0.349251,1085,17,
1,51,Overall,Overall,35,15,41,0.0,-0.073857,0.391411,996,20,
1,52,Overall,Overall,35,22,41,1.5,1.321103,0.344177,1066,17,
1,53,Overall,Overall,35,16,41,1.0,0.760489,0.347444,1038,17,
1,54,Overall,Overall,35,5,41,-1.5,-1.973271,0.646675,901,32,
1,55,Overall,Overall,35,9,41,0.0,-0.721578,0.463432,964,23,
1,56,Overall,Overall,35,14,41,0.0,0.226323,0.393119,1011,20,
1,57,Overall,Overall,35,14,41,0.0,0.20612,0.392657,1010,20,
1,58,Overall,Overall,35,20,41,2.0,1.59763,0.333582,1080,17,
1,59,Overall,Overall,35,18,41,0.5,0.727272,0.374254,1036,19,
1,60,Overall,Overall,35,14,41,0.5,0.479026,0.371674,1024,19,
