type,id,count,exposure_rate
section,A,3600,1.0
section,B,593,0.16
section,C,2314,0.64
section,D,693,0.19
item,A01,2432,0.68
item,A02,3578,0.99
item,A03,1949,0.54
item,A04,3600,1.0
item,A05,2914,0.81
item,A06,3341,0.93
item,A07,1692,0.47
item,A08,2258,0.63
item,A09,3597,1.0
item,A10,2987,0.83
item,A11,3600,1.0
item,A12,3565,0.99
item,A13,3597,1.0
item,A14,3600,1.0
item,A15,2179,0.61
item,B01,140,0.04
item,B02,100,0.03
item,B03,514,0.14
item,B04,471,0.13
item,B05,283,0.08
item,B06,593,0.16
item,B07,581,0.16
item,B08,555,0.15
item,B09,36,0.01
item,B10,32,0.01
item,B11,328,0.09
item,B12,398,0.11
item,B13,495,0.14
item,B14,336,0.09
item,B15,589,0.16
item,C01,713,0.2
item,C02,171,0.05
item,C03,346,0.1
item,C04,1955,0.54
item,C05,446,0.12
item,C06,641,0.18
item,C07,1356,0.38
item,C08,1453,0.4
item,C09,1243,0.35
item,C10,2259,0.63
item,C11,1157,0.32
item,C12,952,0.26
item,C13,1715,0.48
item,C14,970,0.27
item,C15,2074,0.58
item,D01,476,0.13
item,D02,322,0.09
item,D03,392,0.11
item,D04,25,0.01
item,D05,239,0.07
item,D06,31,0.01
item,D07,36,0.01
item,D08,643,0.18
item,D09,524,0.15
item,D10,82,0.02
item,D11,677,0.19
item,D12,548,0.15
item,D13,675,0.19
item,D14,598,0.17
item,D15,300,0.08
