thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,1,Overall,Overall,28,4,28,-1.5,-2.10255,0.446916,-2,0,
1,2,Overall,Overall,23,17,23,1.5,1.554862,0.43965,2,0,
1,3,Overall,Overall,18,8,18,-1.0,-0.181816,0.442386,0,0,
1,4,Overall,Overall,18,9,18,0.0,0.012984,0.440826,0,0,
1,5,Overall,Overall,19,7,19,-1.0,-0.789499,0.44326,-1,0,
1,6,Overall,Overall,23,18,23,2.0,1.752297,0.44943,2,0,
1,7,Overall,Overall,20,13,20,1.5,1.055237,0.440995,1,0,
1,8,Overall,Overall,20,6,20,-1.5,-1.125987,0.449573,-1,0,
1,9,Overall,Overall,22,16,22,1.5,1.585727,0.439431,2,0,
1,10,Overall,Overall,18,10,18,0.5,0.334364,0.440808,0,0,
1,11,Overall,Overall,23,17,23,1.5,1.506346,0.437253,2,0,
1,12,Overall,Overall,23,17,23,1.0,1.554862,0.43965,2,0,
1,13,Overall,Overall,18,9,18,0.0,-0.038128,0.440121,0,0,
1,14,Overall,Overall,20,6,20,-1.0,-1.136639,0.448609,-1,0,
1,15,Overall,Overall,20,6,20,-1.0,-1.125987,0.449573,-1,0,
1,16,Overall,Overall,18,10,18,0.5,0.222866,0.441813,0,0,
1,17,Overall,Overall,18,9,18,0.0,-0.038128,0.440121,0,0,
1,18,Overall,Overall,23,6,23,-1.5,-1.2869,0.439267,-1,0,
1,19,Overall,Overall,18,9,18,0.0,0.319122,0.444452,0,0,
1,20,Overall,Overall,18,7,18,-0.5,-0.640154,0.447187,-1,0,
1,21,Overall,Overall,22,6,22,-2.0,-1.209891,0.445682,-1,0,
1,22,Overall,Overall,19,13,19,1.0,0.923416,0.44677,1,0,
1,23,Overall,Overall,21,6,21,-1.5,-1.167408,0.444378,-1,0,
1,24,Overall,Overall,18,9,18,0.0,-0.167841,0.440855,0,0,
1,25,Overall,Overall,18,11,18,0.5,0.572321,0.445523,1,0,
1,26,Overall,Overall,18,7,18,-2.0,-0.640154,0.447187,-1,0,
1,27,Overall,Overall,18,10,18,0.0,0.222866,0.441813,0,0,
1,28,Overall,Overall,19,7,19,-1.0,-0.589929,0.443448,-1,0,
1,29,Overall,Overall,19,12,19,0.0,0.912775,0.4451,1,0,
1,30,Overall,Overall,22,6,22,-2.0,-1.209891,0.445682,-1,0,
1,31,Overall,Overall,28,5,28,-1.5,-1.909339,0.432651,-2,0,
1,32,Overall,Overall,18,8,18,-0.5,-0.427375,0.44452,0,0,
1,33,Overall,Overall,25,5,25,-1.5,-1.782765,0.44566,-2,0,
1,34,Overall,Overall,28,4,28,-2.0,-2.10255,0.446916,-2,0,
1,35,Overall,Overall,25,5,25,-2.0,-1.782765,0.44566,-2,0,
1,36,Overall,Overall,27,4,27,-2.0,-1.694612,0.456886,-2,0,
1,37,Overall,Overall,19,12,19,1.5,0.932596,0.447885,1,0,
1,38,Overall,Overall,28,4,28,-2.0,-2.10255,0.446916,-2,0,
1,39,Overall,Overall,28,4,28,-2.0,-2.10255,0.446916,-2,0,
1,40,Overall,Overall,20,7,20,-1.0,-0.927682,0.441492,-1,0,
1,41,Overall,Overall,28,4,28,-1.5,-2.10255,0.446916,-2,0,
1,42,Overall,Overall,18,11,18,1.0,0.419775,0.446187,0,0,
1,43,Overall,Overall,20,14,20,0.5,1.164925,0.446179,1,0,
1,44,Overall,Overall,18,9,18,0.0,0.028487,0.440445,0,0,
1,45,Overall,Overall,18,8,18,-0.5,-0.306477,0.442676,0,0,
1,46,Overall,Overall,26,22,26,2.0,2.105648,0.447764,2,0,
1,47,Overall,Overall,19,12,19,0.5,0.822524,0.441093,1,0,
1,48,Overall,Overall,18,9,18,0.0,-0.167841,0.440855,0,0,
1,49,Overall,Overall,19,13,19,0.5,0.758844,0.448021,1,0,
1,50,Overall,Overall,18,11,18,0.5,0.468885,0.445686,0,0,
1,51,Overall,Overall,18,11,18,0.5,0.758655,0.448823,1,0,
1,52,Overall,Overall,28,4,28,-2.0,-2.10255,0.446916,-2,0,
1,53,Overall,Overall,19,6,19,-1.0,-0.8827,0.448556,-1,0,
1,54,Overall,Overall,18,8,18,-1.0,-0.038836,0.444772,0,0,
1,55,Overall,Overall,18,11,18,0.5,0.572321,0.445523,1,0,
1,56,Overall,Overall,19,13,19,1.0,0.923416,0.44677,1,0,
1,57,Overall,Overall,18,7,18,-0.5,-0.559084,0.445705,-1,0,
1,58,Overall,Overall,18,8,18,-0.5,-0.120331,0.442118,0,0,
1,59,Overall,Overall,18,8,18,-1.5,-0.362393,0.441794,0,0,
1,60,Overall,Overall,20,7,20,-1.5,-0.927682,0.441492,-1,0,
1,61,Overall,Overall,18,10,18,0.0,0.558968,0.445391,1,0,
1,62,Overall,Overall,19,7,19,-1.0,-0.636512,0.442843,-1,0,
1,63,Overall,Overall,23,6,23,-1.5,-1.233492,0.436103,-1,0,
1,64,Overall,Overall,21,14,21,1.5,1.166245,0.438148,1,0,
1,65,Overall,Overall,26,21,26,2.0,1.911443,0.434078,2,0,
1,66,Overall,Overall,19,7,19,-0.5,-0.789499,0.44326,-1,0,
1,67,Overall,Overall,18,10,18,1.0,0.516784,0.445216,1,0,
1,68,Overall,Overall,19,12,19,0.5,0.80442,0.442305,1,0,
1,69,Overall,Overall,20,14,20,1.5,1.332571,0.449386,1,0,
1,70,Overall,Overall,23,18,23,2.0,1.701797,0.447364,2,0,
1,71,Overall,Overall,18,7,18,-1.0,-0.504046,0.446801,-1,0,
1,72,Overall,Overall,26,22,26,2.0,2.105648,0.447764,2,0,
1,73,Overall,Overall,18,8,18,-0.5,-0.251671,0.443986,0,0,
1,74,Overall,Overall,30,2,30,-2.0,-2.573055,0.481923,-3,0,
1,75,Overall,Overall,18,7,18,-1.5,-0.450495,0.448309,0,0,
1,76,Overall,Overall,18,8,18,0.0,-0.038836,0.444772,0,0,
1,77,Overall,Overall,23,6,23,-1.5,-1.2869,0.439267,-1,0,
1,78,Overall,Overall,20,6,20,-2.0,-1.125987,0.449573,-1,0,
1,79,Overall,Overall,21,6,21,-2.0,-1.153638,0.445639,-1,0,
1,80,Overall,Overall,18,9,18,0.5,0.057749,0.441212,0,0,
1,81,Overall,Overall,20,6,20,-1.5,-1.125987,0.449573,-1,0,
1,82,Overall,Overall,19,12,19,1.0,0.932596,0.447885,1,0,
1,83,Overall,Overall,25,5,25,-1.5,-1.782765,0.44566,-2,0,
1,84,Overall,Overall,24,6,24,-2.0,-1.523924,0.441228,-2,0,
1,85,Overall,Overall,22,7,22,-1.0,-0.974561,0.435352,-1,0,
