section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,C01,STM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C02,STM,,NUMBER,1.0,1.0,,3600,1.0,1.0,1.0,1.0,0.0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C03,ITM,,NUMBER,12.0,12.0,,3600,1.0,12.0,12.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0
A,C04_S001,STM_ITM,S001,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,5.609,0.741,0,0,0,0,0,197,108,56,0,0,0,0,0,0,0,0,0,0,0
A,C04_S002,STM_ITM,S002,NUMBER,5.0,7.0,,22,1.0,5.0,7.0,5.182,0.501,0,0,0,0,0,19,2,1,0,0,0,0,0,0,0,0,0,0,0
A,C04_S004,STM_ITM,S004,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,5.939,0.783,0,0,0,0,0,122,139,100,0,0,0,0,0,0,0,0,0,0,0
A,C04_S013,STM_ITM,S013,NUMBER,5.0,7.0,,360,1.0,5.0,7.0,5.775,0.832,0,0,0,0,0,174,93,93,0,0,0,0,0,0,0,0,0,0,0
A,C04_S017,STM_ITM,S017,NUMBER,5.0,7.0,,359,1.0,5.0,7.0,6.738,0.465,0,0,0,0,0,4,86,269,0,0,0,0,0,0,0,0,0,0,0
A,C04_S018,STM_ITM,S018,NUMBER,5.0,7.0,,263,1.0,5.0,7.0,6.285,0.795,0,0,0,0,0,56,76,131,0,0,0,0,0,0,0,0,0,0,0
A,C04_S020,STM_ITM,S020,NUMBER,5.0,7.0,,53,1.0,5.0,7.0,6.698,0.723,0,0,0,0,0,8,0,45,0,0,0,0,0,0,0,0,0,0,0
A,C04_S021,STM_ITM,S021,NUMBER,5.0,7.0,,121,1.0,5.0,7.0,6.083,0.909,0,0,0,0,0,45,21,55,0,0,0,0,0,0,0,0,0,0,0
A,C04_S024,STM_ITM,S024,NUMBER,5.0,7.0,,360,1.0,5.0,7.0,5.764,0.781,0,0,0,0,0,162,121,77,0,0,0,0,0,0,0,0,0,0,0
A,C04_S026,STM_ITM,S026,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,5.629,0.817,0,0,0,0,0,212,71,78,0,0,0,0,0,0,0,0,0,0,0
A,C04_S028,STM_ITM,S028,NUMBER,5.0,7.0,,170,1.0,5.0,7.0,6.324,0.94,0,0,0,0,0,56,3,111,0,0,0,0,0,0,0,0,0,0,0
A,C04_S032,STM_ITM,S032,NUMBER,5.0,7.0,,113,1.0,5.0,7.0,5.257,0.478,0,0,0,0,0,86,25,2,0,0,0,0,0,0,0,0,0,0,0
A,C04_S042,STM_ITM,S042,NUMBER,5.0,7.0,,23,1.0,5.0,7.0,5.174,0.491,0,0,0,0,0,20,2,1,0,0,0,0,0,0,0,0,0,0,0
A,C04_S043,STM_ITM,S043,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,5.554,0.784,0,0,0,0,0,227,68,66,0,0,0,0,0,0,0,0,0,0,0
A,C04_S046,STM_ITM,S046,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,5.956,0.927,0,0,0,0,0,163,51,147,0,0,0,0,0,0,0,0,0,0,0
A,C04_S052,STM_ITM,S052,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,5.632,0.86,0,0,0,0,0,224,46,91,0,0,0,0,0,0,0,0,0,0,0
A,C04_S055,STM_ITM,S055,NUMBER,5.0,7.0,,139,1.0,5.0,7.0,5.561,0.512,0,0,0,0,0,62,76,1,0,0,0,0,0,0,0,0,0,0,0
A,C04_S056,STM_ITM,S056,NUMBER,5.0,7.0,,357,1.0,5.0,7.0,6.415,0.676,0,0,0,0,0,38,133,186,0,0,0,0,0,0,0,0,0,0,0
A,C04_S059,STM_ITM,S059,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,6.659,0.594,0,0,0,0,0,23,77,261,0,0,0,0,0,0,0,0,0,0,0
A,C04_S064,STM_ITM,S064,NUMBER,5.0,7.0,,327,1.0,5.0,7.0,5.93,0.909,0,0,0,0,0,147,56,124,0,0,0,0,0,0,0,0,0,0,0
A,C04_S066,STM_ITM,S066,NUMBER,5.0,7.0,,361,1.0,5.0,7.0,5.945,0.911,0,0,0,0,0,160,61,140,0,0,0,0,0,0,0,0,0,0,0
