type,id,count,exposure_rate
section,A,3600,1.0
section,B,3600,1.0
item,I0001,124,0.03
item,I0002,237,0.07
item,I0003,361,0.1
item,I0004,201,0.06
item,I0005,211,0.06
item,I0006,155,0.04
item,I0007,132,0.04
item,I0008,170,0.05
item,I0009,151,0.04
item,I0010,86,0.02
item,I0011,133,0.04
item,I0012,64,0.02
item,I0013,6,0.0
item,I0014,0,0.0
item,I0015,17,0.0
item,I0016,22,0.01
item,I0017,9,0.0
item,I0018,7,0.0
item,I0019,13,0.0
item,I0020,14,0.0
item,I0021,12,0.0
item,I0022,9,0.0
item,I0023,3,0.0
item,I0024,2,0.0
item,I0025,17,0.0
item,I0026,20,0.01
item,I0027,1,0.0
item,I0028,20,0.01
item,I0029,20,0.01
item,I0030,20,0.01
item,I0031,20,0.01
item,I0032,20,0.01
item,I0033,20,0.01
item,I0034,20,0.01
item,I0035,0,0.0
item,I0036,18,0.01
item,I0037,360,0.1
item,I0038,233,0.06
item,I0039,158,0.04
item,I0040,201,0.06
item,I0041,226,0.06
item,I0042,176,0.05
item,I0043,98,0.03
item,I0044,153,0.04
item,I0045,108,0.03
item,I0046,185,0.05
item,I0047,133,0.04
item,I0048,113,0.03
item,I0049,0,0.0
item,I0050,0,0.0
item,I0051,0,0.0
item,I0052,0,0.0
item,I0053,0,0.0
item,I0054,0,0.0
item,I0055,0,0.0
item,I0056,0,0.0
item,I0057,0,0.0
item,I0058,0,0.0
item,I0059,0,0.0
item,I0060,0,0.0
item,I0061,342,0.1
item,I0062,342,0.1
item,I0063,342,0.1
item,I0064,338,0.09
item,I0065,18,0.01
item,I0066,5,0.0
item,I0067,341,0.09
item,I0068,342,0.1
item,I0069,334,0.09
item,I0070,160,0.04
item,I0071,326,0.09
item,I0072,25,0.01
item,I0073,0,0.0
item,I0074,0,0.0
item,I0075,0,0.0
item,I0076,0,0.0
item,I0077,0,0.0
item,I0078,0,0.0
item,I0079,0,0.0
item,I0080,0,0.0
item,I0081,0,0.0
item,I0082,0,0.0
item,I0083,0,0.0
item,I0084,0,0.0
item,I0085,22,0.01
item,I0086,360,0.1
item,I0087,12,0.0
item,I0088,351,0.1
item,I0089,14,0.0
item,I0090,359,0.1
item,I0091,350,0.1
item,I0092,333,0.09
item,I0093,341,0.09
item,I0094,343,0.1
item,I0095,324,0.09
item,I0096,316,0.09
item,I0097,0,0.0
item,I0098,0,0.0
item,I0099,0,0.0
item,I0100,0,0.0
item,I0101,0,0.0
item,I0102,0,0.0
item,I0103,0,0.0
item,I0104,0,0.0
item,I0105,0,0.0
item,I0106,0,0.0
item,I0107,0,0.0
item,I0108,0,0.0
item,I0109,73,0.02
item,I0110,360,0.1
item,I0111,195,0.05
item,I0112,359,0.1
item,I0113,348,0.1
item,I0114,359,0.1
item,I0115,355,0.1
item,I0116,353,0.1
item,I0117,11,0.0
item,I0118,334,0.09
item,I0119,351,0.1
item,I0120,338,0.09
item,I0121,0,0.0
item,I0122,0,0.0
item,I0123,1,0.0
item,I0124,1,0.0
item,I0125,1,0.0
item,I0126,1,0.0
item,I0127,0,0.0
item,I0128,1,0.0
item,I0129,1,0.0
item,I0130,1,0.0
item,I0131,1,0.0
item,I0132,1,0.0
item,I0133,118,0.03
item,I0134,10,0.0
item,I0135,166,0.05
item,I0136,166,0.05
item,I0137,156,0.04
item,I0138,166,0.05
item,I0139,166,0.05
item,I0140,166,0.05
item,I0141,0,0.0
item,I0142,166,0.05
item,I0143,165,0.05
item,I0144,161,0.04
item,I0145,347,0.1
item,I0146,187,0.05
item,I0147,140,0.04
item,I0148,225,0.06
item,I0149,111,0.03
item,I0150,277,0.08
item,I0151,166,0.05
item,I0152,109,0.03
item,I0153,220,0.06
item,I0154,99,0.03
item,I0155,85,0.02
item,I0156,113,0.03
item,I0157,16,0.0
item,I0158,285,0.08
item,I0159,360,0.1
item,I0160,359,0.1
item,I0161,360,0.1
item,I0162,114,0.03
item,I0163,352,0.1
item,I0164,304,0.08
item,I0165,353,0.1
item,I0166,356,0.1
item,I0167,343,0.1
item,I0168,341,0.09
item,I0169,359,0.1
item,I0170,31,0.01
item,I0171,286,0.08
item,I0172,270,0.08
item,I0173,359,0.1
item,I0174,343,0.1
item,I0175,348,0.1
item,I0176,357,0.1
item,I0177,325,0.09
item,I0178,67,0.02
item,I0179,346,0.1
item,I0180,347,0.1
item,I0181,131,0.04
item,I0182,132,0.04
item,I0183,1,0.0
item,I0184,127,0.04
item,I0185,132,0.04
item,I0186,132,0.04
item,I0187,80,0.02
item,I0188,130,0.04
item,I0189,4,0.0
item,I0190,132,0.04
item,I0191,132,0.04
item,I0192,131,0.04
item,I0193,288,0.08
item,I0194,90,0.03
item,I0195,359,0.1
item,I0196,269,0.07
item,I0197,358,0.1
item,I0198,333,0.09
item,I0199,2,0.0
item,I0200,346,0.1
item,I0201,15,0.0
item,I0202,1,0.0
item,I0203,55,0.02
item,I0204,303,0.08
item,I0205,213,0.06
item,I0206,202,0.06
item,I0207,42,0.01
item,I0208,213,0.06
item,I0209,174,0.05
item,I0210,70,0.02
item,I0211,195,0.05
item,I0212,171,0.05
item,I0213,70,0.02
item,I0214,48,0.01
item,I0215,210,0.06
item,I0216,45,0.01
item,I0217,135,0.04
item,I0218,38,0.01
item,I0219,135,0.04
item,I0220,135,0.04
item,I0221,135,0.04
item,I0222,50,0.01
item,I0223,135,0.04
item,I0224,124,0.03
item,I0225,135,0.04
item,I0226,63,0.02
item,I0227,135,0.04
item,I0228,10,0.0
item,I0229,8,0.0
item,I0230,46,0.01
item,I0231,53,0.01
item,I0232,45,0.01
item,I0233,0,0.0
item,I0234,0,0.0
item,I0235,53,0.01
item,I0236,0,0.0
item,I0237,46,0.01
item,I0238,51,0.01
item,I0239,52,0.01
item,I0240,1,0.0
item,I0241,75,0.02
item,I0242,84,0.02
item,I0243,89,0.02
item,I0244,46,0.01
item,I0245,68,0.02
item,I0246,80,0.02
item,I0247,56,0.02
item,I0248,48,0.01
item,I0249,39,0.01
item,I0250,60,0.02
item,I0251,48,0.01
item,I0252,43,0.01
item,I0253,1,0.0
item,I0254,1,0.0
item,I0255,1,0.0
item,I0256,0,0.0
