thread,student,domain_name,domain_value,item_count,raw_score,max_points,true_theta,theta,se,scale_score,scale_score_se,performance_level
1,1,Overall,Overall,30,23,30,2.0,2.489618,0.454047,1124,23,
1,2,Overall,Overall,30,17,30,1.0,0.416295,0.376176,1021,19,
1,3,Overall,Overall,30,16,30,1.0,0.652267,0.379321,1033,19,
1,4,Overall,Overall,30,13,30,-1.5,-1.292692,0.386167,935,19,
1,5,Overall,Overall,30,14,30,1.0,0.631724,0.377263,1032,19,
1,6,Overall,Overall,30,10,30,-2.0,-1.73307,0.40608,913,20,
1,7,Overall,Overall,30,18,30,0.5,0.596048,0.379819,1030,19,
1,8,Overall,Overall,30,15,30,0.5,0.588131,0.378642,1029,19,
1,9,Overall,Overall,30,16,30,-0.5,-0.546584,0.381307,973,19,
1,10,Overall,Overall,30,11,30,-1.0,-0.967264,0.389162,952,19,
1,11,Overall,Overall,30,18,30,0.5,1.045097,0.387366,1052,19,
1,12,Overall,Overall,30,14,30,0.5,0.432961,0.37885,1022,19,
1,13,Overall,Overall,30,12,30,-1.0,-0.929549,0.385797,954,19,
1,14,Overall,Overall,30,11,30,-2.0,-1.58151,0.399316,921,20,
1,15,Overall,Overall,30,19,30,0.0,0.520148,0.391717,1026,20,
1,16,Overall,Overall,30,9,30,-2.0,-1.823132,0.415628,909,21,
1,17,Overall,Overall,30,13,30,-0.5,-0.216773,0.380732,989,19,
1,18,Overall,Overall,30,12,30,-1.0,-1.021659,0.387656,949,19,
1,19,Overall,Overall,30,16,30,1.5,1.074044,0.389156,1054,19,
1,20,Overall,Overall,30,15,30,-1.0,-1.007248,0.38824,950,19,
1,21,Overall,Overall,30,11,30,-1.5,-1.676579,0.399884,916,20,
1,22,Overall,Overall,30,12,30,-1.5,-1.273122,0.398335,936,20,
1,23,Overall,Overall,30,19,30,0.5,0.413037,0.391591,1021,20,
1,24,Overall,Overall,30,18,30,0.0,-0.219063,0.385678,989,19,
1,25,Overall,Overall,30,18,30,0.5,0.895512,0.381435,1045,19,
1,26,Overall,Overall,30,14,30,-1.0,-0.968385,0.382519,952,19,
1,27,Overall,Overall,30,14,30,0.0,-0.108405,0.37194,995,19,
1,28,Overall,Overall,30,22,30,2.0,1.821776,0.431496,1091,22,
1,29,Overall,Overall,30,15,30,1.0,0.262905,0.373726,1013,19,
1,30,Overall,Overall,30,26,30,2.0,3.037104,0.568747,1152,28,
1,31,Overall,Overall,30,12,30,-1.0,-1.246583,0.385501,938,19,
1,32,Overall,Overall,30,12,30,-2.0,-1.546537,0.392197,923,20,
1,33,Overall,Overall,30,19,30,1.5,0.754733,0.386348,1038,19,
1,34,Overall,Overall,30,7,30,-1.5,-2.190297,0.449107,890,22,
1,35,Overall,Overall,30,10,30,-1.5,-1.591144,0.40171,920,20,
1,36,Overall,Overall,30,15,30,-0.5,-0.513701,0.375943,974,19,
1,37,Overall,Overall,30,16,30,-1.0,-0.487053,0.379059,976,19,
1,38,Overall,Overall,30,13,30,-1.5,-1.174062,0.386415,941,19,
1,39,Overall,Overall,30,13,30,-1.0,-1.058581,0.389651,947,19,
1,40,Overall,Overall,30,9,30,-0.5,-1.166794,0.410846,942,21,
1,41,Overall,Overall,30,11,30,-1.5,-1.100364,0.399498,945,20,
1,42,Overall,Overall,30,21,30,1.5,1.81695,0.413718,1091,21,
1,43,Overall,Overall,30,22,30,1.0,1.798155,0.429538,1090,21,
1,44,Overall,Overall,30,16,30,0.5,0.306827,0.372785,1015,19,
1,45,Overall,Overall,30,23,30,2.0,2.272378,0.456359,1114,23,
1,46,Overall,Overall,30,20,30,1.0,0.957245,0.40247,1048,20,
1,47,Overall,Overall,30,9,30,-2.0,-1.989687,0.420239,901,21,
1,48,Overall,Overall,30,13,30,-0.5,-0.578867,0.385808,971,19,
